resId;en;ru
DocStr8;InitializeComponent;InitializeComponent
DocStr38;A strongly-typed resource class, for looking up localized strings, etc;A strongly-typed resource class, for looking up localized strings, etc
DocStr39;Returns the cached ResourceManager instance used by this class;Returns the cached ResourceManager instance used by this class
DocStr40;Overrides the current thread's CurrentUICulture property for all resource lookups using this strongly typed resource class;Overrides the current thread's CurrentUICulture property for all resource lookups using this strongly typed resource class
DocStr41;Looks up a localized resource of type System.Byte[];Looks up a localized resource of type System.Byte[]
DocStr61;Цена фиксирования прибыли. Используется для заявок Stop+TargetProfit;Цена фиксирования прибыли. Используется для заявок Stop+TargetProfit
DocStr62;Максимальное отклонение в противоположную сторону. Используется для заявок TrailingStop;Максимальное отклонение в противоположную сторону. Используется для заявок TrailingStop
DocStr63;Тайм-фреймы для исторических свечей Альфа-Директ;Тайм-фреймы для исторических свечей Альфа-Директ
DocStr79;Реализация интерфейса {0}, предоставляющая подключение к брокеру AlfaDirect;Реализация интерфейса {0}, предоставляющая подключение к брокеру AlfaDirect
DocStr88;Временной отступ для нового запроса получение новой свечи. По умолчанию равен 5 секундам;Временной отступ для нового запроса получение новой свечи. По умолчанию равен 5 секундам
DocStr89;Необходим для того, чтобы сервер успел сформировать данные в своем хранилище свечей;Необходим для того, чтобы сервер успел сформировать данные в своем хранилище свечей
DocStr297;Защитный сдвиг от рассчитанной цены стопа {0}, который позволяет активировать защиту до достижения рынком данной цены. По умолчанию выключено;Защитный сдвиг от рассчитанной цены стопа {0}, который позволяет активировать защиту до достижения рынком данной цены. По умолчанию выключено
DocStr721;POC;POC
DocStr1161;http://www2.wealth-lab.com/WL5Wiki/Volatility.ashx http://www.incrediblecharts.com/indicators/chaikin_volatility.php;http://www2.wealth-lab.com/WL5Wiki/Volatility.ashx http://www.incrediblecharts.com/indicators/chaikin_volatility.php
DocStr1165;QStick;QStick
DocStr1166;http://www2.wealth-lab.com/WL5Wiki/QStick.ashx;http://www2.wealth-lab.com/WL5Wiki/QStick.ashx
DocStr1168;http://www2.wealth-lab.com/WL5Wiki/TRIX.ashx http://www.incrediblecharts.com/indicators/trix_indicator.php;http://www2.wealth-lab.com/WL5Wiki/TRIX.ashx http://www.incrediblecharts.com/indicators/trix_indicator.php
DocStr1171;http://www2.wealth-lab.com/WL5Wiki/VHF.ashx http://www.stator-afm.com/vertical-horizontal-filter.html http://www.incrediblecharts.com/indicators/vertical_horizontal_filter.php;http://www2.wealth-lab.com/WL5Wiki/VHF.ashx http://www.stator-afm.com/vertical-horizontal-filter.html http://www.incrediblecharts.com/indicators/vertical_horizontal_filter.php
DocStr1173;http://www2.wealth-lab.com/WL5Wiki/Vidya.ashx http://www.mql5.com/en/code/75;http://www2.wealth-lab.com/WL5Wiki/Vidya.ashx http://www.mql5.com/en/code/75
DocStr1177;DIMinus is a component of the Directional Movement System developed by Welles Wilder;DIMinus is a component of the Directional Movement System developed by Welles Wilder
DocStr1181;DIPlus is a component of the Directional Movement System developed by Welles Wilder;DIPlus is a component of the Directional Movement System developed by Welles Wilder
DocStr1182;DI+;DI+
DocStr1183;DI-;DI-
DocStr1185;http://ta.mql4.com/indicators/oscillators/ichimoku;http://ta.mql4.com/indicators/oscillators/ichimoku
DocStr1192;http://www2.wealth-lab.com/WL5Wiki/UltimateOsc.ashx http://stockcharts.com/school/doku.php?id=chart_school:technical_indicators:ultimate_oscillator;http://www2.wealth-lab.com/WL5Wiki/UltimateOsc.ashx http://stockcharts.com/school/doku.php?id=chart_school:technical_indicators:ultimate_oscillator
DocStr1197;Double Exponential Moving Average;Double Exponential Moving Average
DocStr1198;((2 * EMA) – EMA of EMA);((2 * EMA) – EMA of EMA)
DocStr1199;Envelope;Envelope
DocStr1207;NickRypockTrailingReverse (Nick Rypock Trailing reverse);NickRypockTrailingReverse (Nick Rypock Trailing reverse)
DocStr1209;Optimal Tracking;Optimal Tracking
DocStr1210;Based on a Kalman Filter (Dr. R. E. Kalman, 1960) and Kalatas Tracking Index (Paul. R. Kalata, 1984);Based on a Kalman Filter (Dr. R. E. Kalman, 1960) and Kalatas Tracking Index (Paul. R. Kalata, 1984)
DocStr1212;http://ta.mql4.com/indicators/trends/parabolic_sar;http://ta.mql4.com/indicators/trends/parabolic_sar
DocStr1219;http://www2.wealth-lab.com/WL5Wiki/PeakBar.ashx;http://www2.wealth-lab.com/WL5Wiki/PeakBar.ashx
DocStr1220;Range Action Verification Index;Range Action Verification Index
DocStr1221;http://tradingsim.com/blog/triple-exponential-moving-average/ (3 * EMA) – (3 * EMA of EMA) + EMA of EMA of EMA);http://tradingsim.com/blog/triple-exponential-moving-average/ (3 * EMA) – (3 * EMA of EMA) + EMA of EMA of EMA)
DocStr1222;http://www2.wealth-lab.com/WL5Wiki/TroughBar.ashx;http://www2.wealth-lab.com/WL5Wiki/TroughBar.ashx
DocStr1223;http://www2.wealth-lab.com/WL5Wiki/VMA.ashx http://stockcharts.com/school/doku.php?id=chart_school:technical_indicators:vwap_intraday;http://www2.wealth-lab.com/WL5Wiki/VMA.ashx http://stockcharts.com/school/doku.php?id=chart_school:technical_indicators:vwap_intraday
DocStr1229;http://ta.mql4.com/indicators/bills/acceleration_deceleration;http://ta.mql4.com/indicators/bills/acceleration_deceleration
DocStr1231;http://ta.mql4.com/indicators/bills/alligator;http://ta.mql4.com/indicators/bills/alligator
DocStr1233;http://ta.mql4.com/indicators/bills/awesome;http://ta.mql4.com/indicators/bills/awesome
DocStr1235;http://ta.mql4.com/indicators/bills/fractal;http://ta.mql4.com/indicators/bills/fractal
DocStr1237;http://ta.mql4.com/indicators/bills/gator;http://ta.mql4.com/indicators/bills/gator
DocStr1238;http://ta.mql4.com/indicators/bills/market_facilitation_index;http://ta.mql4.com/indicators/bills/market_facilitation_index
DocStr1239;%R = (Highest High - Close)/(Highest High - Lowest Low) * -100 http://stockcharts.com/school/doku.php?id=chart_school:technical_indicators:williams_r http://www2.wealth-lab.com/WL5Wiki/WilliamsR.ashx;%R = (Highest High - Close)/(Highest High - Lowest Low) * -100 http://stockcharts.com/school/doku.php?id=chart_school:technical_indicators:williams_r http://www2.wealth-lab.com/WL5Wiki/WilliamsR.ashx
DocStr2230;Level 1;Level 1
DocStr2308;Получить текущее время с учетом часового пояса торговой площадки инструмента;Получить текущее время с учетом часового пояса торговой площадки инструмента
