T:StockSharp.Alerts.AlertButton/summary;DocStr0
M:StockSharp.Alerts.AlertButton.#ctor/summary;DocStr1
M:StockSharp.Alerts.AlertButton.Load(Ecng.Serialization.SettingsStorage)/summary;DocStr2
M:StockSharp.Alerts.AlertButton.Load(Ecng.Serialization.SettingsStorage)/param/storage;DocStr3
M:StockSharp.Alerts.AlertButton.Save(Ecng.Serialization.SettingsStorage)/summary;DocStr4
M:StockSharp.Alerts.AlertButton.Save(Ecng.Serialization.SettingsStorage)/param/storage;DocStr3
M:StockSharp.Alerts.AlertButton.Process(System.Collections.Generic.IEnumerable{StockSharp.Messages.Message})/summary;DocStr5
M:StockSharp.Alerts.AlertButton.Process(System.Collections.Generic.IEnumerable{StockSharp.Messages.Message})/param/messages;Messages
M:StockSharp.Alerts.AlertButton.Process(StockSharp.Messages.Message)/summary;DocStr6
M:StockSharp.Alerts.AlertButton.Process(StockSharp.Messages.Message)/param/message;Str3166
M:StockSharp.Alerts.AlertButton.Dispose/summary;DocStr7
M:StockSharp.Alerts.AlertButton.InitializeComponent/summary;DocStr8
P:StockSharp.Alerts.AlertButton.MessageType/summary;DocStr9
E:StockSharp.Alerts.AlertButton.SchemaChanged/summary;DocStr10
T:StockSharp.Alerts.AlertPopupWindow/summary;DocStr11
M:StockSharp.Alerts.AlertPopupWindow.#ctor/summary;DocStr1
M:StockSharp.Alerts.AlertPopupWindow.InitializeComponent/summary;DocStr8
P:StockSharp.Alerts.AlertPopupWindow.Time/summary;DocStr12
P:StockSharp.Alerts.AlertPopupWindow.Message/summary;DocStr13
T:StockSharp.Alerts.AlertRule/summary;DocStr14
M:StockSharp.Alerts.AlertRule.#ctor/summary;DocStr1
P:StockSharp.Alerts.AlertRule.Property/summary;DocStr15
P:StockSharp.Alerts.AlertRule.Operator/summary;DocStr16
P:StockSharp.Alerts.AlertRule.Value/summary;DocStr17
T:StockSharp.Alerts.AlertSchema/summary;DocStr18
M:StockSharp.Alerts.AlertSchema.#ctor(System.Type)/summary;DocStr1
M:StockSharp.Alerts.AlertSchema.#ctor(System.Type)/param/messageType;DocStr9
M:StockSharp.Alerts.AlertSchema.Load(Ecng.Serialization.SettingsStorage)/summary;DocStr2
M:StockSharp.Alerts.AlertSchema.Load(Ecng.Serialization.SettingsStorage)/param/storage;DocStr3
M:StockSharp.Alerts.AlertSchema.Save(Ecng.Serialization.SettingsStorage)/summary;DocStr4
M:StockSharp.Alerts.AlertSchema.Save(Ecng.Serialization.SettingsStorage)/param/storage;DocStr3
P:StockSharp.Alerts.AlertSchema.MessageType/summary;DocStr9
P:StockSharp.Alerts.AlertSchema.Rules/summary;Str1088
P:StockSharp.Alerts.AlertSchema.AlertType/summary;DocStr19
P:StockSharp.Alerts.AlertSchema.Caption/summary;Str3165
P:StockSharp.Alerts.AlertSchema.Message/summary;DocStr13
T:StockSharp.Alerts.AlertService/summary;DocStr20
T:StockSharp.Alerts.IAlertService/summary;DocStr21
M:StockSharp.Alerts.IAlertService.PushAlert(StockSharp.Alerts.AlertTypes,System.String,System.String,System.DateTimeOffset)/summary;DocStr22
M:StockSharp.Alerts.IAlertService.PushAlert(StockSharp.Alerts.AlertTypes,System.String,System.String,System.DateTimeOffset)/param/type;DocStr19
M:StockSharp.Alerts.IAlertService.PushAlert(StockSharp.Alerts.AlertTypes,System.String,System.String,System.DateTimeOffset)/param/caption;Str3165
M:StockSharp.Alerts.IAlertService.PushAlert(StockSharp.Alerts.AlertTypes,System.String,System.String,System.DateTimeOffset)/param/message;DocStr13
M:StockSharp.Alerts.IAlertService.PushAlert(StockSharp.Alerts.AlertTypes,System.String,System.String,System.DateTimeOffset)/param/time;DocStr23
M:StockSharp.Alerts.IAlertService.Register(StockSharp.Alerts.AlertSchema)/summary;DocStr24
M:StockSharp.Alerts.IAlertService.Register(StockSharp.Alerts.AlertSchema)/param/schema;DocStr18
M:StockSharp.Alerts.IAlertService.UnRegister(StockSharp.Alerts.AlertSchema)/summary;DocStr25
M:StockSharp.Alerts.IAlertService.UnRegister(StockSharp.Alerts.AlertSchema)/param/schema;DocStr18
M:StockSharp.Alerts.IAlertService.Process(StockSharp.Messages.Message)/summary;DocStr26
M:StockSharp.Alerts.IAlertService.Process(StockSharp.Messages.Message)/param/message;Str3166
M:StockSharp.Alerts.AlertService.#ctor(System.String)/summary;DocStr1
M:StockSharp.Alerts.AlertService.#ctor(System.String)/param/dumpDir;DocStr27
M:StockSharp.Alerts.AlertService.PushAlert(StockSharp.Alerts.AlertTypes,System.String,System.String,System.DateTimeOffset)/summary;DocStr22
M:StockSharp.Alerts.AlertService.PushAlert(StockSharp.Alerts.AlertTypes,System.String,System.String,System.DateTimeOffset)/param/type;DocStr19
M:StockSharp.Alerts.AlertService.PushAlert(StockSharp.Alerts.AlertTypes,System.String,System.String,System.DateTimeOffset)/param/caption;Str3165
M:StockSharp.Alerts.AlertService.PushAlert(StockSharp.Alerts.AlertTypes,System.String,System.String,System.DateTimeOffset)/param/message;DocStr13
M:StockSharp.Alerts.AlertService.PushAlert(StockSharp.Alerts.AlertTypes,System.String,System.String,System.DateTimeOffset)/param/time;DocStr23
M:StockSharp.Alerts.AlertService.Register(StockSharp.Alerts.AlertSchema)/summary;DocStr24
M:StockSharp.Alerts.AlertService.Register(StockSharp.Alerts.AlertSchema)/param/schema;DocStr18
M:StockSharp.Alerts.AlertService.UnRegister(StockSharp.Alerts.AlertSchema)/summary;DocStr25
M:StockSharp.Alerts.AlertService.UnRegister(StockSharp.Alerts.AlertSchema)/param/schema;DocStr18
M:StockSharp.Alerts.AlertService.Process(StockSharp.Messages.Message)/summary;DocStr26
M:StockSharp.Alerts.AlertService.Process(StockSharp.Messages.Message)/param/message;Str3166
M:StockSharp.Alerts.AlertService.DisposeManaged/summary;DocStr7
T:StockSharp.Alerts.AlertSettingsPanel/summary;DocStr28
M:StockSharp.Alerts.AlertSettingsPanel.#ctor/summary;DocStr1
F:StockSharp.Alerts.AlertSettingsPanel.MessageTypeProperty/summary;DocStr29
F:StockSharp.Alerts.AlertSettingsPanel.PropertyProperty/summary;DocStr29
F:StockSharp.Alerts.AlertSettingsPanel.OperatorProperty/summary;DocStr29
F:StockSharp.Alerts.AlertSettingsPanel.ValueProperty/summary;DocStr29
M:StockSharp.Alerts.AlertSettingsPanel.InitializeComponent/summary;DocStr8
P:StockSharp.Alerts.AlertSettingsPanel.MessageType/summary;DocStr9
P:StockSharp.Alerts.AlertSettingsPanel.Property/summary;DocStr15
P:StockSharp.Alerts.AlertSettingsPanel.Operator/summary;DocStr16
P:StockSharp.Alerts.AlertSettingsPanel.Value/summary;DocStr17
T:StockSharp.Alerts.AlertSettingsWindow/summary;DocStr30
M:StockSharp.Alerts.AlertSettingsWindow.#ctor/summary;DocStr1
M:StockSharp.Alerts.AlertSettingsWindow.InitializeComponent/summary;DocStr8
P:StockSharp.Alerts.AlertSettingsWindow.Schema/summary;DocStr18
T:StockSharp.Alerts.AlertTypes/summary;DocStr31
F:StockSharp.Alerts.AlertTypes.Sound/summary;DocStr32
F:StockSharp.Alerts.AlertTypes.Speech/summary;DocStr33
