T:StockSharp.Algo.Expressions.ExpressionFormula/summary;DocStr8476
M:StockSharp.Algo.Expressions.ExpressionFormula.Calculate(System.Decimal[])/summary;DocStr1113
M:StockSharp.Algo.Expressions.ExpressionFormula.Calculate(System.Decimal[])/param/values;DocStr1114
M:StockSharp.Algo.Expressions.ExpressionFormula.Calculate(System.Decimal[])/returns;DocStr1115
M:StockSharp.Algo.Expressions.ExpressionFormula.#ctor(System.String,System.Collections.Generic.IEnumerable{System.String})/summary;DocStr1
M:StockSharp.Algo.Expressions.ExpressionFormula.#ctor(System.String,System.Collections.Generic.IEnumerable{System.String})/param/expression;DocStr8477
M:StockSharp.Algo.Expressions.ExpressionFormula.#ctor(System.String,System.Collections.Generic.IEnumerable{System.String})/param/securityIds;DocStr142
P:StockSharp.Algo.Expressions.ExpressionFormula.Expression/summary;DocStr8477
P:StockSharp.Algo.Expressions.ExpressionFormula.Error/summary;DocStr8478
P:StockSharp.Algo.Expressions.ExpressionFormula.SecurityIds/summary;DocStr142
P:StockSharp.Algo.Expressions.ExpressionFormula.Functions/summary;AvailableFunctions
M:StockSharp.Algo.Expressions.ExpressionFormula.Compile(System.String,System.Boolean)/summary;DocStr8479
M:StockSharp.Algo.Expressions.ExpressionFormula.Compile(System.String,System.Boolean)/param/expression;DocStr8480
M:StockSharp.Algo.Expressions.ExpressionFormula.Compile(System.String,System.Boolean)/param/useSecurityIds;DocStr10100
M:StockSharp.Algo.Expressions.ExpressionFormula.Compile(System.String,System.Boolean)/returns;DocStr8476
T:StockSharp.Algo.Expressions.ExpressionHelper/summary;DocStr2939
M:StockSharp.Algo.Expressions.ExpressionHelper.GetSecurityIds(System.String)/summary;DocStr1109
M:StockSharp.Algo.Expressions.ExpressionHelper.GetSecurityIds(System.String)/param/expression;DocStr1110
M:StockSharp.Algo.Expressions.ExpressionHelper.GetSecurityIds(System.String)/returns;DocStr142
M:StockSharp.Algo.Expressions.ExpressionHelper.Encode(System.String)/summary;DocStr1106
M:StockSharp.Algo.Expressions.ExpressionHelper.Encode(System.String)/param/expression;DocStr1107
M:StockSharp.Algo.Expressions.ExpressionHelper.Encode(System.String)/returns;DocStr1108
M:StockSharp.Algo.Expressions.ExpressionHelper.Decode(System.String)/summary;DocStr8481
M:StockSharp.Algo.Expressions.ExpressionHelper.Decode(System.String)/param/expression;DocStr1107
M:StockSharp.Algo.Expressions.ExpressionHelper.Decode(System.String)/returns;DocStr8482
P:StockSharp.Algo.Expressions.ExpressionHelper.Functions/summary;AvailableFunctions
M:StockSharp.Algo.Expressions.ExpressionHelper.Compile(Ecng.Common.ICompilerService,System.String,System.Boolean)/summary;DocStr8479
M:StockSharp.Algo.Expressions.ExpressionHelper.Compile(Ecng.Common.ICompilerService,System.String,System.Boolean)/param/service;DocStr9821
M:StockSharp.Algo.Expressions.ExpressionHelper.Compile(Ecng.Common.ICompilerService,System.String,System.Boolean)/param/expression;DocStr8480
M:StockSharp.Algo.Expressions.ExpressionHelper.Compile(Ecng.Common.ICompilerService,System.String,System.Boolean)/param/useSecurityIds;DocStr10100
M:StockSharp.Algo.Expressions.ExpressionHelper.Compile(Ecng.Common.ICompilerService,System.String,System.Boolean)/returns;DocStr8476
T:StockSharp.Algo.Expressions.ExpressionIndexSecurity/summary;DocStr1111
M:StockSharp.Algo.Expressions.ExpressionIndexSecurity.#ctor/summary;DocStr1
P:StockSharp.Algo.Expressions.ExpressionIndexSecurity.Formula/summary;DocStr8476
P:StockSharp.Algo.Expressions.ExpressionIndexSecurity.Expression/summary;DocStr1117
P:StockSharp.Algo.Expressions.ExpressionIndexSecurity.InnerSecurityIds/summary;DocStr936
M:StockSharp.Algo.Expressions.ExpressionIndexSecurity.OnCalculate(System.Decimal[])/summary;DocStr1113
M:StockSharp.Algo.Expressions.ExpressionIndexSecurity.OnCalculate(System.Decimal[])/param/values;DocStr1114
M:StockSharp.Algo.Expressions.ExpressionIndexSecurity.OnCalculate(System.Decimal[])/returns;DocStr1115
M:StockSharp.Algo.Expressions.ExpressionIndexSecurity.Clone/summary;DocStr643
M:StockSharp.Algo.Expressions.ExpressionIndexSecurity.Clone/returns;DocStr1116
M:StockSharp.Algo.Expressions.ExpressionIndexSecurity.ToString/summary;DocStr49
M:StockSharp.Algo.Expressions.ExpressionIndexSecurity.ToString/returns;DocStr50
M:StockSharp.Algo.Expressions.ExpressionIndexSecurity.ToSerializedString/summary;DocStr9585
M:StockSharp.Algo.Expressions.ExpressionIndexSecurity.ToSerializedString/returns;DocStr9586
M:StockSharp.Algo.Expressions.ExpressionIndexSecurity.FromSerializedString(System.String)/summary;DocStr9587
M:StockSharp.Algo.Expressions.ExpressionIndexSecurity.FromSerializedString(System.String)/param/text;DocStr9588
T:StockSharp.Algo.Expressions.ExpressionIndexCsvSecurityList/summary;DocStr10489
M:StockSharp.Algo.Expressions.ExpressionIndexCsvSecurityList.#ctor(StockSharp.Algo.Storages.Csv.CsvEntityRegistry)/summary;DocStr1
M:StockSharp.Algo.Expressions.ExpressionIndexCsvSecurityList.#ctor(StockSharp.Algo.Storages.Csv.CsvEntityRegistry)/param/registry;DocStr9193
M:StockSharp.Algo.Expressions.ExpressionIndexCsvSecurityList.CreateSecurity(System.String)/inheritdoc;DocStr8459
M:StockSharp.Algo.Expressions.ExpressionIndexCsvSecurityList.CreateText(StockSharp.Algo.IndexSecurity)/inheritdoc;DocStr8459
