T:StockSharp.Algo.Strategies.Derivatives.DeltaHedgeStrategy/summary;DocStr348
M:StockSharp.Algo.Strategies.Derivatives.DeltaHedgeStrategy.#ctor(StockSharp.Algo.Storages.IExchangeInfoProvider)/summary;DocStr1
M:StockSharp.Algo.Strategies.Derivatives.DeltaHedgeStrategy.#ctor(StockSharp.Algo.Storages.IExchangeInfoProvider)/param/exchangeInfoProvider;DocStr9509
P:StockSharp.Algo.Strategies.Derivatives.DeltaHedgeStrategy.PositionOffset/summary;Str1246
M:StockSharp.Algo.Strategies.Derivatives.DeltaHedgeStrategy.GetReHedgeOrders/inheritdoc;DocStr8459
T:StockSharp.Algo.Strategies.Derivatives.HedgeStrategy/summary;DocStr349
M:StockSharp.Algo.Strategies.Derivatives.HedgeStrategy.#ctor(StockSharp.Algo.Storages.IExchangeInfoProvider)/summary;DocStr93
M:StockSharp.Algo.Strategies.Derivatives.HedgeStrategy.#ctor(StockSharp.Algo.Storages.IExchangeInfoProvider)/param/exchangeInfoProvider;DocStr9509
P:StockSharp.Algo.Strategies.Derivatives.HedgeStrategy.BlackScholes/summary;DocStr951
P:StockSharp.Algo.Strategies.Derivatives.HedgeStrategy.UseQuoting/summary;DocStr363
P:StockSharp.Algo.Strategies.Derivatives.HedgeStrategy.PriceOffset/summary;DocStr364
M:StockSharp.Algo.Strategies.Derivatives.HedgeStrategy.GetNotificationRules/summary;DocStr350
M:StockSharp.Algo.Strategies.Derivatives.HedgeStrategy.GetNotificationRules/returns;DocStr321
M:StockSharp.Algo.Strategies.Derivatives.HedgeStrategy.OnStarted/inheritdoc;DocStr8459
M:StockSharp.Algo.Strategies.Derivatives.HedgeStrategy.GetReHedgeOrders/summary;DocStr351
M:StockSharp.Algo.Strategies.Derivatives.HedgeStrategy.GetReHedgeOrders/returns;DocStr352
M:StockSharp.Algo.Strategies.Derivatives.HedgeStrategy.AddReHedgeQuoting(StockSharp.Algo.Strategies.Strategy,StockSharp.BusinessEntities.Order)/summary;DocStr353
M:StockSharp.Algo.Strategies.Derivatives.HedgeStrategy.AddReHedgeQuoting(StockSharp.Algo.Strategies.Strategy,StockSharp.BusinessEntities.Order)/param/parentStrategy;DocStr354
M:StockSharp.Algo.Strategies.Derivatives.HedgeStrategy.AddReHedgeQuoting(StockSharp.Algo.Strategies.Strategy,StockSharp.BusinessEntities.Order)/param/order;DocStr355
M:StockSharp.Algo.Strategies.Derivatives.HedgeStrategy.AddReHedgeOrder(StockSharp.Algo.Strategies.Strategy,StockSharp.BusinessEntities.Order)/summary;DocStr356
M:StockSharp.Algo.Strategies.Derivatives.HedgeStrategy.AddReHedgeOrder(StockSharp.Algo.Strategies.Strategy,StockSharp.BusinessEntities.Order)/param/parentStrategy;DocStr354
M:StockSharp.Algo.Strategies.Derivatives.HedgeStrategy.AddReHedgeOrder(StockSharp.Algo.Strategies.Strategy,StockSharp.BusinessEntities.Order)/param/order;DocStr355
