T:StockSharp.BW.BWMessageAdapter/summary;DocStr2538
P:StockSharp.BW.BWMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.BW.BWMessageAdapter.Key/summary;Str3304
P:StockSharp.BW.BWMessageAdapter.Secret/summary;DocStr3146
P:StockSharp.BW.BWMessageAdapter.BalanceCheckInterval/summary;BalanceCheckInterval
M:StockSharp.BW.BWMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.BW.BWMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.BW.BWMessageAdapter.ToString/inheritdoc;DocStr8459
M:StockSharp.BW.BWMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.BW.BWMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.BW.BWMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
T:StockSharp.BW.BWTrader/summary;DocStr2539
M:StockSharp.BW.BWTrader.#ctor/summary;DocStr1
P:StockSharp.BW.BWTrader.Key/summary;Str3304
P:StockSharp.BW.BWTrader.Secret/summary;DocStr3146
P:StockSharp.BW.BWTrader.BalanceCheckInterval/summary;BalanceCheckInterval
