T:StockSharp.Bibox.BiboxMessageAdapter/summary;DocStr2538
M:StockSharp.Bibox.BiboxMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Bibox.BiboxMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Bibox.BiboxMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
M:StockSharp.Bibox.BiboxMessageAdapter.GetTimeFrames(StockSharp.Messages.SecurityId,System.Nullable{System.DateTimeOffset},System.Nullable{System.DateTimeOffset})/inheritdoc;DocStr8459
M:StockSharp.Bibox.BiboxMessageAdapter.GetHistoryStepSize(StockSharp.Messages.DataType,System.TimeSpan@)/inheritdoc;DocStr8459
P:StockSharp.Bibox.BiboxMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.Bibox.BiboxMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.Bibox.BiboxMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.Bibox.BiboxMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.Bibox.BiboxMessageAdapter.Secret/inheritdoc;DocStr8459
P:StockSharp.Bibox.BiboxMessageAdapter.AdminPassword/summary;AdminPassword
M:StockSharp.Bibox.BiboxMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Bibox.BiboxMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Bibox.BiboxMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.Bibox.BiboxOrderCondition/summary;DocStr60
M:StockSharp.Bibox.BiboxOrderCondition.#ctor/summary;DocStr1
T:StockSharp.Bibox.BiboxTrader/summary;DocStr2539
M:StockSharp.Bibox.BiboxTrader.#ctor/summary;DocStr1
P:StockSharp.Bibox.BiboxTrader.Key/summary;Str3304
P:StockSharp.Bibox.BiboxTrader.Secret/summary;DocStr3146
P:StockSharp.Bibox.BiboxTrader.AdminPassword/summary;AdminPassword
