T:StockSharp.Binance.BinanceMessageAdapter/summary;DocStr2538
M:StockSharp.Binance.BinanceMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Binance.BinanceMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Binance.BinanceMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
M:StockSharp.Binance.BinanceMessageAdapter.GetTimeFrames(StockSharp.Messages.SecurityId,System.Nullable{System.DateTimeOffset},System.Nullable{System.DateTimeOffset})/inheritdoc;DocStr8459
P:StockSharp.Binance.BinanceMessageAdapter.IsSupportCandlesUpdates/inheritdoc;DocStr8459
P:StockSharp.Binance.BinanceMessageAdapter.IsSupportOrderBookIncrements/inheritdoc;DocStr8459
M:StockSharp.Binance.BinanceMessageAdapter.GetHistoryStepSize(StockSharp.Messages.DataType,System.TimeSpan@)/inheritdoc;DocStr8459
P:StockSharp.Binance.BinanceMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.Binance.BinanceMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.Binance.BinanceMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.Binance.BinanceMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.Binance.BinanceMessageAdapter.Secret/inheritdoc;DocStr8459
P:StockSharp.Binance.BinanceMessageAdapter.Sections/summary;DocStr12001
P:StockSharp.Binance.BinanceMessageAdapter.IsDemo/inheritdoc;DocStr8459
M:StockSharp.Binance.BinanceMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Binance.BinanceMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Binance.BinanceMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.Binance.BinanceSections/summary;DocStr12001
F:StockSharp.Binance.BinanceSections.Spot/summary;Spot
F:StockSharp.Binance.BinanceSections.Margin/summary;Margin
F:StockSharp.Binance.BinanceSections.Futures/summary;Futures
F:StockSharp.Binance.BinanceSections.FuturesCoin/summary;DocStr12002
T:StockSharp.Binance.BinanceOrderConditionTypes/summary;DocStr10253
F:StockSharp.Binance.BinanceOrderConditionTypes.StopLoss/summary;StopLoss
F:StockSharp.Binance.BinanceOrderConditionTypes.TakeProfit/summary;TakeProfit
T:StockSharp.Binance.BinanceTriggerTypes/summary;DocStr11030
F:StockSharp.Binance.BinanceTriggerTypes.MarkPrice/summary;DocStr11032
F:StockSharp.Binance.BinanceTriggerTypes.ContractPrice/summary;DocStr11676
T:StockSharp.Binance.BinanceOrderCondition/summary;DocStr60
M:StockSharp.Binance.BinanceOrderCondition.#ctor/summary;DocStr1
P:StockSharp.Binance.BinanceOrderCondition.Type/summary;Str1963
P:StockSharp.Binance.BinanceOrderCondition.StopPrice/summary;Str3460
P:StockSharp.Binance.BinanceOrderCondition.Trigger/summary;Trigger
P:StockSharp.Binance.BinanceOrderCondition.IsTrailing/inheritdoc;DocStr8459
P:StockSharp.Binance.BinanceOrderCondition.ReduceOnly/summary;ReducePosition
T:StockSharp.Binance.BinanceTrader/summary;DocStr2539
M:StockSharp.Binance.BinanceTrader.#ctor/summary;DocStr1
P:StockSharp.Binance.BinanceTrader.Key/summary;Str3304
P:StockSharp.Binance.BinanceTrader.Secret/summary;DocStr3146
