T:StockSharp.BitMax.BitMaxMessageAdapter/summary;DocStr2538
M:StockSharp.BitMax.BitMaxMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.BitMax.BitMaxMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.BitMax.BitMaxMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
M:StockSharp.BitMax.BitMaxMessageAdapter.GetTimeFrames(StockSharp.Messages.SecurityId,System.Nullable{System.DateTimeOffset},System.Nullable{System.DateTimeOffset})/inheritdoc;DocStr8459
P:StockSharp.BitMax.BitMaxMessageAdapter.IsSupportOrderBookIncrements/inheritdoc;DocStr8459
P:StockSharp.BitMax.BitMaxMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.BitMax.BitMaxMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.BitMax.BitMaxMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.BitMax.BitMaxMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.BitMax.BitMaxMessageAdapter.Secret/inheritdoc;DocStr8459
P:StockSharp.BitMax.BitMaxMessageAdapter.BalanceCheckInterval/summary;BalanceCheckInterval
M:StockSharp.BitMax.BitMaxMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.BitMax.BitMaxMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.BitMax.BitMaxMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.BitMax.BitMaxOrderCondition/summary;DocStr60
M:StockSharp.BitMax.BitMaxOrderCondition.#ctor/summary;DocStr1
P:StockSharp.BitMax.BitMaxOrderCondition.StopPrice/summary;Str3460
P:StockSharp.BitMax.BitMaxOrderCondition.PostOnly/summary;PostOnlyOrder
T:StockSharp.BitMax.BitMaxTrader/summary;DocStr2539
M:StockSharp.BitMax.BitMaxTrader.#ctor/summary;DocStr1
P:StockSharp.BitMax.BitMaxTrader.Key/summary;Str3304
P:StockSharp.BitMax.BitMaxTrader.Secret/summary;DocStr3146
P:StockSharp.BitMax.BitMaxTrader.BalanceCheckInterval/summary;BalanceCheckInterval
