T:StockSharp.BitStamp.BitStampTrader/summary;DocStr2539
M:StockSharp.BitStamp.BitStampTrader.#ctor/summary;DocStr1
P:StockSharp.BitStamp.BitStampTrader.Key/summary;Str3304
P:StockSharp.BitStamp.BitStampTrader.Secret/summary;DocStr3146
P:StockSharp.BitStamp.BitStampTrader.ClientId/summary;Str3308
P:StockSharp.BitStamp.BitStampTrader.BalanceCheckInterval/summary;BalanceCheckInterval
T:StockSharp.BitStamp.BitStampMessageAdapter/summary;DocStr2538
M:StockSharp.BitStamp.BitStampMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.BitStamp.BitStampMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.BitStamp.BitStampMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
M:StockSharp.BitStamp.BitStampMessageAdapter.GetHistoryStepSize(StockSharp.Messages.DataType,System.TimeSpan@)/inheritdoc;DocStr8459
P:StockSharp.BitStamp.BitStampMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.BitStamp.BitStampMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
F:StockSharp.BitStamp.BitStampMessageAdapter.DefaultHeartbeatInterval/summary;DocStr9884
P:StockSharp.BitStamp.BitStampMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.BitStamp.BitStampMessageAdapter.Secret/inheritdoc;DocStr8459
P:StockSharp.BitStamp.BitStampMessageAdapter.ClientId/summary;Str3308
P:StockSharp.BitStamp.BitStampMessageAdapter.BalanceCheckInterval/summary;BalanceCheckInterval
P:StockSharp.BitStamp.BitStampMessageAdapter.AuthV2/summary;DocStr11406
M:StockSharp.BitStamp.BitStampMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.BitStamp.BitStampMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.BitStamp.BitStampMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.BitStamp.BitStampOrderCondition/summary;DocStr60
M:StockSharp.BitStamp.BitStampOrderCondition.#ctor/summary;DocStr1
P:StockSharp.BitStamp.BitStampOrderCondition.StopPrice/summary;Str3460
