T:StockSharp.Bitalong.BitalongMessageAdapter/summary;DocStr2538
M:StockSharp.Bitalong.BitalongMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Bitalong.BitalongMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Bitalong.BitalongMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
P:StockSharp.Bitalong.BitalongMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.Bitalong.BitalongMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.Bitalong.BitalongMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.Bitalong.BitalongMessageAdapter.Secret/inheritdoc;DocStr8459
P:StockSharp.Bitalong.BitalongMessageAdapter.BalanceCheckInterval/summary;BalanceCheckInterval
P:StockSharp.Bitalong.BitalongMessageAdapter.Address/inheritdoc;DocStr8459
M:StockSharp.Bitalong.BitalongMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Bitalong.BitalongMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Bitalong.BitalongMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.Bitalong.BitalongOrderCondition/summary;DocStr60
M:StockSharp.Bitalong.BitalongOrderCondition.#ctor/summary;DocStr1
