T:StockSharp.Bitbank.BitbankMessageAdapter/summary;DocStr2538
M:StockSharp.Bitbank.BitbankMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Bitbank.BitbankMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Bitbank.BitbankMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
M:StockSharp.Bitbank.BitbankMessageAdapter.GetTimeFrames(StockSharp.Messages.SecurityId,System.Nullable{System.DateTimeOffset},System.Nullable{System.DateTimeOffset})/inheritdoc;DocStr8459
P:StockSharp.Bitbank.BitbankMessageAdapter.IsSupportCandlesUpdates/inheritdoc;DocStr8459
M:StockSharp.Bitbank.BitbankMessageAdapter.GetHistoryStepSize(StockSharp.Messages.DataType,System.TimeSpan@)/inheritdoc;DocStr8459
P:StockSharp.Bitbank.BitbankMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.Bitbank.BitbankMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.Bitbank.BitbankMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.Bitbank.BitbankMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.Bitbank.BitbankMessageAdapter.Secret/inheritdoc;DocStr8459
P:StockSharp.Bitbank.BitbankMessageAdapter.RequestWithdrawAccounts/summary;DocStr10590
P:StockSharp.Bitbank.BitbankMessageAdapter.BalanceCheckInterval/summary;BalanceCheckInterval
M:StockSharp.Bitbank.BitbankMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Bitbank.BitbankMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Bitbank.BitbankMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.Bitbank.BitbankOrderCondition/summary;DocStr60
M:StockSharp.Bitbank.BitbankOrderCondition.#ctor/summary;DocStr1
T:StockSharp.Bitbank.BitbankTrader/summary;DocStr2539
M:StockSharp.Bitbank.BitbankTrader.#ctor/summary;DocStr1
P:StockSharp.Bitbank.BitbankTrader.Key/summary;Str3304
P:StockSharp.Bitbank.BitbankTrader.Secret/summary;DocStr3146
P:StockSharp.Bitbank.BitbankTrader.BalanceCheckInterval/summary;BalanceCheckInterval
P:StockSharp.Bitbank.BitbankTrader.RequestWithdrawAccounts/summary;DocStr10590
