T:StockSharp.Bitexbook.BitexbookMessageAdapter/summary;DocStr2538
M:StockSharp.Bitexbook.BitexbookMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Bitexbook.BitexbookMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Bitexbook.BitexbookMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
M:StockSharp.Bitexbook.BitexbookMessageAdapter.GetTimeFrames(StockSharp.Messages.SecurityId,System.Nullable{System.DateTimeOffset},System.Nullable{System.DateTimeOffset})/inheritdoc;DocStr8459
P:StockSharp.Bitexbook.BitexbookMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.Bitexbook.BitexbookMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.Bitexbook.BitexbookMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.Bitexbook.BitexbookMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.Bitexbook.BitexbookMessageAdapter.Secret/inheritdoc;DocStr8459
P:StockSharp.Bitexbook.BitexbookMessageAdapter.BalanceCheckInterval/summary;BalanceCheckInterval
M:StockSharp.Bitexbook.BitexbookMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Bitexbook.BitexbookMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Bitexbook.BitexbookMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.Bitexbook.BitexbookOrderCondition/summary;DocStr60
M:StockSharp.Bitexbook.BitexbookOrderCondition.#ctor/summary;DocStr1
