T:StockSharp.Bitmex.BitmexMessageAdapter/summary;DocStr2538
M:StockSharp.Bitmex.BitmexMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Bitmex.BitmexMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Bitmex.BitmexMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
P:StockSharp.Bitmex.BitmexMessageAdapter.IsSupportCandlesUpdates/inheritdoc;DocStr8459
M:StockSharp.Bitmex.BitmexMessageAdapter.GetTimeFrames(StockSharp.Messages.SecurityId,System.Nullable{System.DateTimeOffset},System.Nullable{System.DateTimeOffset})/inheritdoc;DocStr8459
M:StockSharp.Bitmex.BitmexMessageAdapter.GetHistoryStepSize(StockSharp.Messages.DataType,System.TimeSpan@)/inheritdoc;DocStr8459
P:StockSharp.Bitmex.BitmexMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.Bitmex.BitmexMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.Bitmex.BitmexMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.Bitmex.BitmexMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.Bitmex.BitmexMessageAdapter.Secret/inheritdoc;DocStr8459
P:StockSharp.Bitmex.BitmexMessageAdapter.IsDemo/inheritdoc;DocStr8459
M:StockSharp.Bitmex.BitmexMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Bitmex.BitmexMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Bitmex.BitmexMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.Bitmex.BitmexOrderTypes/summary;DocStr10253
F:StockSharp.Bitmex.BitmexOrderTypes.Stop/summary;DocStr3138
F:StockSharp.Bitmex.BitmexOrderTypes.StopLimit/summary;DocStr3139
F:StockSharp.Bitmex.BitmexOrderTypes.MarketIfTouched/summary;DocStr3421
F:StockSharp.Bitmex.BitmexOrderTypes.LimitIfTouched/summary;DocStr3422
T:StockSharp.Bitmex.BitmexOrderContingencyTypes/summary;DocStr10808
F:StockSharp.Bitmex.BitmexOrderContingencyTypes.OneCancelsTheOther/summary;DocStr8459
F:StockSharp.Bitmex.BitmexOrderContingencyTypes.OneTriggersTheOther/summary;DocStr8459
F:StockSharp.Bitmex.BitmexOrderContingencyTypes.OneUpdatesTheOtherAbsolute/summary;DocStr8459
F:StockSharp.Bitmex.BitmexOrderContingencyTypes.OneUpdatesTheOtherProportional/summary;DocStr8459
T:StockSharp.Bitmex.BitmexOrderPegPriceTypes/summary;DocStr10809
F:StockSharp.Bitmex.BitmexOrderPegPriceTypes.LastPeg/summary;DocStr8459
F:StockSharp.Bitmex.BitmexOrderPegPriceTypes.MidPricePeg/summary;DocStr8459
F:StockSharp.Bitmex.BitmexOrderPegPriceTypes.MarketPeg/summary;DocStr8459
F:StockSharp.Bitmex.BitmexOrderPegPriceTypes.PrimaryPeg/summary;DocStr8459
F:StockSharp.Bitmex.BitmexOrderPegPriceTypes.TrailingStopPeg/summary;DocStr8459
T:StockSharp.Bitmex.BitmexOrderExecInstructions/summary;DocStr7571
F:StockSharp.Bitmex.BitmexOrderExecInstructions.AllOrNone/summary;DocStr8459
F:StockSharp.Bitmex.BitmexOrderExecInstructions.MarkPrice/summary;DocStr8459
F:StockSharp.Bitmex.BitmexOrderExecInstructions.IndexPrice/summary;DocStr8459
F:StockSharp.Bitmex.BitmexOrderExecInstructions.LastPrice/summary;DocStr8459
F:StockSharp.Bitmex.BitmexOrderExecInstructions.Close/summary;DocStr8459
F:StockSharp.Bitmex.BitmexOrderExecInstructions.ReduceOnly/summary;DocStr8459
F:StockSharp.Bitmex.BitmexOrderExecInstructions.Fixed/summary;DocStr8459
F:StockSharp.Bitmex.BitmexOrderExecInstructions.ParticipateDoNotInitiate/summary;DocStr8459
T:StockSharp.Bitmex.BitmexOrderCondition/summary;DocStr60
M:StockSharp.Bitmex.BitmexOrderCondition.#ctor/summary;DocStr1
P:StockSharp.Bitmex.BitmexOrderCondition.StopType/summary;Str2570
P:StockSharp.Bitmex.BitmexOrderCondition.StopPrice/summary;StopPrice
P:StockSharp.Bitmex.BitmexOrderCondition.ClOrdLinkId/summary;DocStr10810
P:StockSharp.Bitmex.BitmexOrderCondition.PegOffsetValue/summary;DocStr10811
P:StockSharp.Bitmex.BitmexOrderCondition.PegPriceType/summary;DocStr10812
P:StockSharp.Bitmex.BitmexOrderCondition.ContingencyType/summary;DocStr10813
P:StockSharp.Bitmex.BitmexOrderCondition.ExecInst/summary;DocStr7574
T:StockSharp.Bitmex.BitmexTrader/summary;DocStr2539
M:StockSharp.Bitmex.BitmexTrader.#ctor/summary;DocStr1
P:StockSharp.Bitmex.BitmexTrader.Key/summary;Str3304
P:StockSharp.Bitmex.BitmexTrader.Secret/summary;DocStr3146
P:StockSharp.Bitmex.BitmexTrader.IsDemo/summary;Str3388
