T:StockSharp.Bittrex.BittrexMessageAdapter/summary;DocStr2538
M:StockSharp.Bittrex.BittrexMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Bittrex.BittrexMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Bittrex.BittrexMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
M:StockSharp.Bittrex.BittrexMessageAdapter.GetTimeFrames(StockSharp.Messages.SecurityId,System.Nullable{System.DateTimeOffset},System.Nullable{System.DateTimeOffset})/inheritdoc;DocStr8459
P:StockSharp.Bittrex.BittrexMessageAdapter.IsSupportOrderBookIncrements/inheritdoc;DocStr8459
M:StockSharp.Bittrex.BittrexMessageAdapter.GetHistoryStepSize(StockSharp.Messages.DataType,System.TimeSpan@)/inheritdoc;DocStr8459
P:StockSharp.Bittrex.BittrexMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.Bittrex.BittrexMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.Bittrex.BittrexMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.Bittrex.BittrexMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.Bittrex.BittrexMessageAdapter.Secret/inheritdoc;DocStr8459
M:StockSharp.Bittrex.BittrexMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Bittrex.BittrexMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Bittrex.BittrexMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.Bittrex.BittrexOrderCondition/summary;DocStr60
M:StockSharp.Bittrex.BittrexOrderCondition.#ctor/summary;DocStr1
T:StockSharp.Bittrex.BittrexTrader/summary;DocStr2539
M:StockSharp.Bittrex.BittrexTrader.#ctor/summary;DocStr1
P:StockSharp.Bittrex.BittrexTrader.Key/summary;Str3304
P:StockSharp.Bittrex.BittrexTrader.Secret/summary;DocStr3146
