T:StockSharp.Btce.BtceMessageAdapter/summary;DocStr2581
M:StockSharp.Btce.BtceMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Btce.BtceMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Btce.BtceMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
P:StockSharp.Btce.BtceMessageAdapter.IsSupportOrderBookIncrements/inheritdoc;DocStr8459
M:StockSharp.Btce.BtceMessageAdapter.GetHistoryStepSize(StockSharp.Messages.DataType,System.TimeSpan@)/inheritdoc;DocStr8459
P:StockSharp.Btce.BtceMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.Btce.BtceMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
F:StockSharp.Btce.BtceMessageAdapter.DefaultHeartbeatInterval/summary;DocStr9884
P:StockSharp.Btce.BtceMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.Btce.BtceMessageAdapter.Secret/inheritdoc;DocStr8459
P:StockSharp.Btce.BtceMessageAdapter.Address/inheritdoc;DocStr8459
P:StockSharp.Btce.BtceMessageAdapter.BalanceCheckInterval/summary;BalanceCheckInterval
F:StockSharp.Btce.BtceMessageAdapter.DefaultDomain/summary;DocStr9884
M:StockSharp.Btce.BtceMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Btce.BtceMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Btce.BtceMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.Btce.BtceOrderCondition/summary;DocStr60
M:StockSharp.Btce.BtceOrderCondition.#ctor/summary;DocStr1
T:StockSharp.Btce.BtceTrader/summary;DocStr2539
M:StockSharp.Btce.BtceTrader.#ctor/summary;DocStr1
P:StockSharp.Btce.BtceTrader.Key/summary;Str3304
P:StockSharp.Btce.BtceTrader.Secret/summary;DocStr3146
P:StockSharp.Btce.BtceTrader.BalanceCheckInterval/summary;BalanceCheckInterval
