T:StockSharp.BusinessEntities.AggregatedQuote/summary;DocStr2608
M:StockSharp.BusinessEntities.AggregatedQuote.#ctor(System.Boolean)/summary;DocStr1
M:StockSharp.BusinessEntities.AggregatedQuote.#ctor(System.Boolean)/param/checkInnerPrice;DocStr2612
P:StockSharp.BusinessEntities.AggregatedQuote.InnerQuotes/summary;DocStr2613
M:StockSharp.BusinessEntities.AggregatedQuote.Clone/summary;DocStr643
M:StockSharp.BusinessEntities.AggregatedQuote.Clone/returns;DocStr1116
T:StockSharp.BusinessEntities.BasePosition/summary;DocStr2614
M:StockSharp.BusinessEntities.BasePosition.#ctor/summary;DocStr93
P:StockSharp.BusinessEntities.BasePosition.BeginValue/summary;Str424
P:StockSharp.BusinessEntities.BasePosition.CurrentValue/summary;Str425
P:StockSharp.BusinessEntities.BasePosition.BlockedValue/summary;Str426
P:StockSharp.BusinessEntities.BasePosition.ExtensionInfo/summary;ExtendedInfo
P:StockSharp.BusinessEntities.BasePosition.ExtensionInfo/remarks;DocStr2617
P:StockSharp.BusinessEntities.BasePosition.CurrentPrice/summary;Str256
P:StockSharp.BusinessEntities.BasePosition.AveragePrice/summary;DocStr7578
P:StockSharp.BusinessEntities.BasePosition.UnrealizedPnL/summary;Str258
P:StockSharp.BusinessEntities.BasePosition.RealizedPnL/summary;Str259
P:StockSharp.BusinessEntities.BasePosition.VariationMargin/summary;Str260
P:StockSharp.BusinessEntities.BasePosition.Commission/summary;Str262
P:StockSharp.BusinessEntities.BasePosition.SettlementPrice/summary;Str312
P:StockSharp.BusinessEntities.BasePosition.LastChangeTime/summary;Str435
P:StockSharp.BusinessEntities.BasePosition.LocalTime/summary;DocStr2618
P:StockSharp.BusinessEntities.BasePosition.Description/summary;Str269
P:StockSharp.BusinessEntities.BasePosition.Currency/summary;Str251
P:StockSharp.BusinessEntities.BasePosition.ExpirationDate/summary;ExpiryDate
P:StockSharp.BusinessEntities.BasePosition.ClientCode/summary;ClientCodeDesc
M:StockSharp.BusinessEntities.BasePosition.CopyTo(StockSharp.BusinessEntities.BasePosition)/summary;DocStr2615
M:StockSharp.BusinessEntities.BasePosition.CopyTo(StockSharp.BusinessEntities.BasePosition)/param/destination;DocStr2616
T:StockSharp.BusinessEntities.Exchange/summary;ExchangeInfo
M:StockSharp.BusinessEntities.Exchange.#ctor/summary;DocStr1
P:StockSharp.BusinessEntities.Exchange.Name/summary;DocStr2639
P:StockSharp.BusinessEntities.Exchange.RusName/summary;DocStr2640
P:StockSharp.BusinessEntities.Exchange.EngName/summary;DocStr2641
P:StockSharp.BusinessEntities.Exchange.CountryCode/summary;DocStr2642
P:StockSharp.BusinessEntities.Exchange.ExtensionInfo/summary;DocStr2690
P:StockSharp.BusinessEntities.Exchange.ExtensionInfo/remarks;DocStr2691
M:StockSharp.BusinessEntities.Exchange.ToString/summary;DocStr49
M:StockSharp.BusinessEntities.Exchange.ToString/returns;DocStr50
M:StockSharp.BusinessEntities.Exchange.OnEquals(StockSharp.BusinessEntities.Exchange)/summary;DocStr2634
M:StockSharp.BusinessEntities.Exchange.OnEquals(StockSharp.BusinessEntities.Exchange)/param/other;DocStr1157
M:StockSharp.BusinessEntities.Exchange.OnEquals(StockSharp.BusinessEntities.Exchange)/returns;DocStr2636
M:StockSharp.BusinessEntities.Exchange.GetHashCode/summary;DocStr2637
M:StockSharp.BusinessEntities.Exchange.GetHashCode/returns;DocStr2638
M:StockSharp.BusinessEntities.Exchange.Clone/summary;DocStr643
M:StockSharp.BusinessEntities.Exchange.Clone/returns;DocStr1116
