T:StockSharp.CSV.CSVMessageAdapter/summary;DocStr2538
M:StockSharp.CSV.CSVMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.CSV.CSVMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.CSV.CSVMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
M:StockSharp.CSV.CSVMessageAdapter.GetTimeFrames(StockSharp.Messages.SecurityId,System.Nullable{System.DateTimeOffset},System.Nullable{System.DateTimeOffset})/inheritdoc;DocStr8459
P:StockSharp.CSV.CSVMessageAdapter.SupportedMarketDataTypes/inheritdoc;DocStr8459
M:StockSharp.CSV.CSVMessageAdapter.GetHistoryStepSize(StockSharp.Messages.DataType,System.TimeSpan@)/inheritdoc;DocStr8459
M:StockSharp.CSV.CSVMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.CSV.CSVMessageAdapter.Settings/summary;Str2842
M:StockSharp.CSV.CSVMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.CSV.CSVMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
