T:StockSharp.Cex.CexMessageAdapter/summary;DocStr2538
M:StockSharp.Cex.CexMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Cex.CexMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Cex.CexMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
P:StockSharp.Cex.CexMessageAdapter.SupportedOrderBookDepths/inheritdoc;DocStr8459
M:StockSharp.Cex.CexMessageAdapter.GetTimeFrames(StockSharp.Messages.SecurityId,System.Nullable{System.DateTimeOffset},System.Nullable{System.DateTimeOffset})/inheritdoc;DocStr8459
P:StockSharp.Cex.CexMessageAdapter.IsSupportOrderBookIncrements/inheritdoc;DocStr8459
M:StockSharp.Cex.CexMessageAdapter.GetHistoryStepSize(StockSharp.Messages.DataType,System.TimeSpan@)/inheritdoc;DocStr8459
P:StockSharp.Cex.CexMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.Cex.CexMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.Cex.CexMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.Cex.CexMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.Cex.CexMessageAdapter.Secret/inheritdoc;DocStr8459
M:StockSharp.Cex.CexMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Cex.CexMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Cex.CexMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.Cex.CexTrader/summary;DocStr2539
M:StockSharp.Cex.CexTrader.#ctor/summary;DocStr1
P:StockSharp.Cex.CexTrader.Key/summary;Str3304
P:StockSharp.Cex.CexTrader.Secret/summary;DocStr3146
