T:StockSharp.CoinCap.CoinCapMessageAdapter/summary;DocStr2538
M:StockSharp.CoinCap.CoinCapMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.CoinCap.CoinCapMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.CoinCap.CoinCapMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
M:StockSharp.CoinCap.CoinCapMessageAdapter.GetTimeFrames(StockSharp.Messages.SecurityId,System.Nullable{System.DateTimeOffset},System.Nullable{System.DateTimeOffset})/inheritdoc;DocStr8459
M:StockSharp.CoinCap.CoinCapMessageAdapter.GetHistoryStepSize(StockSharp.Messages.DataType,System.TimeSpan@)/inheritdoc;DocStr8459
P:StockSharp.CoinCap.CoinCapMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.CoinCap.CoinCapMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.CoinCap.CoinCapMessageAdapter.AllTimeFrames/summary;DocStr206
T:StockSharp.CoinCap.CoinCapTrader/summary;DocStr2539
M:StockSharp.CoinCap.CoinCapTrader.#ctor/summary;DocStr1
