T:StockSharp.CoinEx.CoinExMessageAdapter/summary;DocStr2538
P:StockSharp.CoinEx.CoinExMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.CoinEx.CoinExMessageAdapter.Key/summary;Str3304
P:StockSharp.CoinEx.CoinExMessageAdapter.Secret/summary;DocStr3146
P:StockSharp.CoinEx.CoinExMessageAdapter.BalanceCheckInterval/summary;BalanceCheckInterval
M:StockSharp.CoinEx.CoinExMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.CoinEx.CoinExMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.CoinEx.CoinExMessageAdapter.ToString/inheritdoc;DocStr8459
M:StockSharp.CoinEx.CoinExMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.CoinEx.CoinExMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.CoinEx.CoinExMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
T:StockSharp.CoinEx.CoinExOrderCondition/summary;DocStr60
M:StockSharp.CoinEx.CoinExOrderCondition.#ctor/summary;DocStr1
