T:StockSharp.CoinExchange.CoinExchangeMessageAdapter/summary;DocStr2538
M:StockSharp.CoinExchange.CoinExchangeMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.CoinExchange.CoinExchangeMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.CoinExchange.CoinExchangeMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
P:StockSharp.CoinExchange.CoinExchangeMessageAdapter.IsNativeIdentifiers/inheritdoc;DocStr8459
P:StockSharp.CoinExchange.CoinExchangeMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.CoinExchange.CoinExchangeMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.CoinExchange.CoinExchangeMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.CoinExchange.CoinExchangeMessageAdapter.Secret/inheritdoc;DocStr8459
M:StockSharp.CoinExchange.CoinExchangeMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.CoinExchange.CoinExchangeMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.CoinExchange.CoinExchangeMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.CoinExchange.CoinExchangeOrderCondition/summary;DocStr60
M:StockSharp.CoinExchange.CoinExchangeOrderCondition.#ctor/summary;DocStr1
T:StockSharp.CoinExchange.CoinExchangeTrader/summary;DocStr2539
M:StockSharp.CoinExchange.CoinExchangeTrader.#ctor/summary;DocStr1
P:StockSharp.CoinExchange.CoinExchangeTrader.Key/summary;Str3304
P:StockSharp.CoinExchange.CoinExchangeTrader.Secret/summary;DocStr3146
