T:StockSharp.CoinHub.CoinHubMessageAdapter/summary;DocStr2538
M:StockSharp.CoinHub.CoinHubMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.CoinHub.CoinHubMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.CoinHub.CoinHubMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
P:StockSharp.CoinHub.CoinHubMessageAdapter.IsReplaceCommandEditCurrent/inheritdoc;DocStr8459
M:StockSharp.CoinHub.CoinHubMessageAdapter.GetTimeFrames(StockSharp.Messages.SecurityId,System.Nullable{System.DateTimeOffset},System.Nullable{System.DateTimeOffset})/inheritdoc;DocStr8459
P:StockSharp.CoinHub.CoinHubMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.CoinHub.CoinHubMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.CoinHub.CoinHubMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.CoinHub.CoinHubMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.CoinHub.CoinHubMessageAdapter.Secret/inheritdoc;DocStr8459
P:StockSharp.CoinHub.CoinHubMessageAdapter.BalanceCheckInterval/summary;BalanceCheckInterval
M:StockSharp.CoinHub.CoinHubMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.CoinHub.CoinHubMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.CoinHub.CoinHubMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.CoinHub.CoinHubOrderCondition/summary;DocStr60
M:StockSharp.CoinHub.CoinHubOrderCondition.#ctor/summary;DocStr1
P:StockSharp.CoinHub.CoinHubOrderCondition.PauseNoCredit/summary;DocStr11486
