T:StockSharp.Coinbase.CoinbaseMessageAdapter/summary;DocStr2538
M:StockSharp.Coinbase.CoinbaseMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Coinbase.CoinbaseMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Coinbase.CoinbaseMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
M:StockSharp.Coinbase.CoinbaseMessageAdapter.GetTimeFrames(StockSharp.Messages.SecurityId,System.Nullable{System.DateTimeOffset},System.Nullable{System.DateTimeOffset})/inheritdoc;DocStr8459
P:StockSharp.Coinbase.CoinbaseMessageAdapter.IsSupportOrderBookIncrements/inheritdoc;DocStr8459
M:StockSharp.Coinbase.CoinbaseMessageAdapter.GetHistoryStepSize(StockSharp.Messages.DataType,System.TimeSpan@)/inheritdoc;DocStr8459
P:StockSharp.Coinbase.CoinbaseMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.Coinbase.CoinbaseMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.Coinbase.CoinbaseMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.Coinbase.CoinbaseMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.Coinbase.CoinbaseMessageAdapter.Secret/inheritdoc;DocStr8459
P:StockSharp.Coinbase.CoinbaseMessageAdapter.Passphrase/summary;Passphrase
P:StockSharp.Coinbase.CoinbaseMessageAdapter.BalanceCheckInterval/summary;BalanceCheckInterval
M:StockSharp.Coinbase.CoinbaseMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Coinbase.CoinbaseMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Coinbase.CoinbaseMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.Coinbase.CoinbaseOrderCondition/summary;DocStr60
M:StockSharp.Coinbase.CoinbaseOrderCondition.#ctor/summary;DocStr1
P:StockSharp.Coinbase.CoinbaseOrderCondition.StopPrice/summary;Str3460
T:StockSharp.Coinbase.CoinbaseTrader/summary;DocStr2539
M:StockSharp.Coinbase.CoinbaseTrader.#ctor/summary;DocStr1
P:StockSharp.Coinbase.CoinbaseTrader.Key/summary;Str3304
P:StockSharp.Coinbase.CoinbaseTrader.Secret/summary;DocStr3146
P:StockSharp.Coinbase.CoinbaseTrader.Passphrase/summary;Passphrase
P:StockSharp.Coinbase.CoinbaseTrader.BalanceCheckInterval/summary;BalanceCheckInterval
