T:StockSharp.Coincheck.CoincheckMessageAdapter/summary;DocStr2538
P:StockSharp.Coincheck.CoincheckMessageAdapter.Key/summary;Str3304
P:StockSharp.Coincheck.CoincheckMessageAdapter.Secret/summary;DocStr3146
P:StockSharp.Coincheck.CoincheckMessageAdapter.BalanceCheckInterval/summary;BalanceCheckInterval
M:StockSharp.Coincheck.CoincheckMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/summary;DocStr4
M:StockSharp.Coincheck.CoincheckMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/param/storage;DocStr3
M:StockSharp.Coincheck.CoincheckMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/summary;DocStr2
M:StockSharp.Coincheck.CoincheckMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/param/storage;DocStr3
M:StockSharp.Coincheck.CoincheckMessageAdapter.ToString/summary;DocStr49
M:StockSharp.Coincheck.CoincheckMessageAdapter.ToString/returns;DocStr50
M:StockSharp.Coincheck.CoincheckMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Coincheck.CoincheckMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Coincheck.CoincheckMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
T:StockSharp.Coincheck.CoincheckOrderCondition/summary;DocStr60
M:StockSharp.Coincheck.CoincheckOrderCondition.#ctor/summary;DocStr1
T:StockSharp.Coincheck.CoincheckTrader/summary;DocStr2539
M:StockSharp.Coincheck.CoincheckTrader.#ctor/summary;DocStr1
P:StockSharp.Coincheck.CoincheckTrader.Key/summary;Str3304
P:StockSharp.Coincheck.CoincheckTrader.Secret/summary;DocStr3146
P:StockSharp.Coincheck.CoincheckTrader.BalanceCheckInterval/summary;BalanceCheckInterval
