T:StockSharp.Coinigy.CoinigyMessageAdapter/summary;DocStr2538
P:StockSharp.Coinigy.CoinigyMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.Coinigy.CoinigyMessageAdapter.Key/summary;Str3304
P:StockSharp.Coinigy.CoinigyMessageAdapter.Secret/summary;DocStr3146
P:StockSharp.Coinigy.CoinigyMessageAdapter.WebSocketId/summary;WebSocketId
P:StockSharp.Coinigy.CoinigyMessageAdapter.BalanceCheckInterval/summary;BalanceCheckInterval
M:StockSharp.Coinigy.CoinigyMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Coinigy.CoinigyMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Coinigy.CoinigyMessageAdapter.ToString/inheritdoc;DocStr8459
M:StockSharp.Coinigy.CoinigyMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Coinigy.CoinigyMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Coinigy.CoinigyMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
T:StockSharp.Coinigy.CoinigyOrderCondition/summary;DocStr60
M:StockSharp.Coinigy.CoinigyOrderCondition.#ctor/summary;DocStr1
P:StockSharp.Coinigy.CoinigyOrderCondition.ConditionalPrice/summary;Str3460
T:StockSharp.Coinigy.CoinigyTrader/summary;DocStr2539
M:StockSharp.Coinigy.CoinigyTrader.#ctor/summary;DocStr1
P:StockSharp.Coinigy.CoinigyTrader.Key/summary;Str3304
P:StockSharp.Coinigy.CoinigyTrader.Secret/summary;DocStr3146
P:StockSharp.Coinigy.CoinigyTrader.BalanceCheckInterval/summary;BalanceCheckInterval
P:StockSharp.Coinigy.CoinigyTrader.WebSocketId/summary;WebSocketId
