T:StockSharp.Community.AuthenticationClient/summary;DocStr2955
M:StockSharp.Community.AuthenticationClient.#ctor/summary;DocStr1
M:StockSharp.Community.AuthenticationClient.#ctor(System.Uri)/summary;DocStr1
M:StockSharp.Community.AuthenticationClient.#ctor(System.Uri)/param/address;DocStr2962
P:StockSharp.Community.AuthenticationClient.Instance/summary;DocStr2967
P:StockSharp.Community.AuthenticationClient.Credentials/summary;DocStr2968
P:StockSharp.Community.AuthenticationClient.Product/summary;Product
P:StockSharp.Community.AuthenticationClient.Version/summary;Product
P:StockSharp.Community.AuthenticationClient.IsLoggedIn/summary;DocStr2969
P:StockSharp.Community.AuthenticationClient.SessionId/summary;DocStr138
P:StockSharp.Community.AuthenticationClient.NullableSessionId/summary;DocStr9213
P:StockSharp.Community.AuthenticationClient.UserId/summary;DocStr2971
M:StockSharp.Community.AuthenticationClient.Login/summary;DocStr2963
M:StockSharp.Community.AuthenticationClient.Login(System.Nullable{StockSharp.Community.Products},System.String,System.Security.SecureString)/summary;DocStr2963
M:StockSharp.Community.AuthenticationClient.Login(System.Nullable{StockSharp.Community.Products},System.String,System.Security.SecureString)/param/product;Product
M:StockSharp.Community.AuthenticationClient.Login(System.Nullable{StockSharp.Community.Products},System.String,System.Security.SecureString)/param/login;Login
M:StockSharp.Community.AuthenticationClient.Login(System.Nullable{StockSharp.Community.Products},System.String,System.Security.SecureString)/param/password;Password
M:StockSharp.Community.AuthenticationClient.Logout/summary;DocStr2964
M:StockSharp.Community.AuthenticationClient.GetId(System.Guid)/summary;DocStr2965
M:StockSharp.Community.AuthenticationClient.GetId(System.Guid)/param/sessionId;DocStr138
M:StockSharp.Community.AuthenticationClient.GetId(System.Guid)/returns;UserId
M:StockSharp.Community.AuthenticationClient.DisposeManaged/summary;DocStr7
T:StockSharp.Community.BaseCommunityClient`1/summary;DocStr2970
T:StockSharp.Community.BaseCommunityClient`1/typeparam/TService;DocStr2957
M:StockSharp.Community.BaseCommunityClient`1.#ctor(System.Uri,System.String,System.Boolean)/summary;DocStr93
M:StockSharp.Community.BaseCommunityClient`1.#ctor(System.Uri,System.String,System.Boolean)/param/address;ServerAddress
M:StockSharp.Community.BaseCommunityClient`1.#ctor(System.Uri,System.String,System.Boolean)/param/endpointName;DocStr2958
M:StockSharp.Community.BaseCommunityClient`1.#ctor(System.Uri,System.String,System.Boolean)/param/hasCallbacks;DocStr2959
P:StockSharp.Community.BaseCommunityClient`1.SessionId/summary;DocStr188
P:StockSharp.Community.BaseCommunityClient`1.NullableSessionId/summary;DocStr9213
P:StockSharp.Community.BaseCommunityClient`1.IsEnglish/summary;DocStr9822
T:StockSharp.Community.BaseServiceClient`1/summary;DocStr2956
T:StockSharp.Community.BaseServiceClient`1/typeparam/TService;DocStr2957
M:StockSharp.Community.BaseServiceClient`1.#ctor(System.Uri,System.String,System.Boolean)/summary;DocStr93
M:StockSharp.Community.BaseServiceClient`1.#ctor(System.Uri,System.String,System.Boolean)/param/address;ServerAddress
M:StockSharp.Community.BaseServiceClient`1.#ctor(System.Uri,System.String,System.Boolean)/param/endpointName;DocStr2958
M:StockSharp.Community.BaseServiceClient`1.#ctor(System.Uri,System.String,System.Boolean)/param/hasCallbacks;DocStr2959
P:StockSharp.Community.BaseServiceClient`1.Address/summary;ServerAddress
P:StockSharp.Community.BaseServiceClient`1.IsConnected/summary;DocStr2961
M:StockSharp.Community.BaseServiceClient`1.CreateChannel/summary;DocStr177
M:StockSharp.Community.BaseServiceClient`1.CreateChannel/returns;DocStr178
M:StockSharp.Community.BaseServiceClient`1.Connect/summary;DocStr2960
M:StockSharp.Community.BaseServiceClient`1.OnConnect/summary;XamlStr666
M:StockSharp.Community.BaseServiceClient`1.Invoke``1(System.Func{`0,``0})/summary;DocStr183
M:StockSharp.Community.BaseServiceClient`1.Invoke``1(System.Func{`0,``0})/typeparam/TResult;DocStr184
M:StockSharp.Community.BaseServiceClient`1.Invoke``1(System.Func{`0,``0})/param/handler;DocStr185
M:StockSharp.Community.BaseServiceClient`1.Invoke``1(System.Func{`0,``0})/returns;DocStr186
M:StockSharp.Community.BaseServiceClient`1.Invoke(System.Action{`0})/summary;DocStr183
M:StockSharp.Community.BaseServiceClient`1.Invoke(System.Action{`0})/param/handler;DocStr185
M:StockSharp.Community.BaseServiceClient`1.DisposeManaged/summary;DocStr7
T:StockSharp.Community.CommunityNews/summary;News
M:StockSharp.Community.CommunityNews.#ctor/summary;DocStr2972
P:StockSharp.Community.CommunityNews.Id/summary;NewsId
P:StockSharp.Community.CommunityNews.Frequency/summary;DocStr2973
P:StockSharp.Community.CommunityNews.EndDate/summary;DocStr2974
P:StockSharp.Community.CommunityNews.EnglishTitle/summary;DocStr2975
P:StockSharp.Community.CommunityNews.EnglishBody/summary;DocStr2976
P:StockSharp.Community.CommunityNews.RussianTitle/summary;DocStr2977
P:StockSharp.Community.CommunityNews.RussianBody/summary;DocStr2978
T:StockSharp.Community.CommunityAuthorization/summary;DocStr2991
M:StockSharp.Community.CommunityAuthorization.#ctor(StockSharp.Community.Products)/summary;DocStr1
M:StockSharp.Community.CommunityAuthorization.#ctor(StockSharp.Community.Products)/param/product;Product
M:StockSharp.Community.CommunityAuthorization.ValidateCredentials(System.String,System.Security.SecureString,System.Net.IPAddress)/summary;DocStr2992
M:StockSharp.Community.CommunityAuthorization.ValidateCredentials(System.String,System.Security.SecureString,System.Net.IPAddress)/param/login;Login
M:StockSharp.Community.CommunityAuthorization.ValidateCredentials(System.String,System.Security.SecureString,System.Net.IPAddress)/param/password;Password
M:StockSharp.Community.CommunityAuthorization.ValidateCredentials(System.String,System.Security.SecureString,System.Net.IPAddress)/param/clientAddress;DocStr9625
M:StockSharp.Community.CommunityAuthorization.ValidateCredentials(System.String,System.Security.SecureString,System.Net.IPAddress)/returns;DocStr138
M:StockSharp.Community.CommunityAuthorization.SaveUser(System.String,System.Security.SecureString,System.Collections.Generic.IEnumerable{System.Net.IPAddress})/summary;DocStr9683
M:StockSharp.Community.CommunityAuthorization.SaveUser(System.String,System.Security.SecureString,System.Collections.Generic.IEnumerable{System.Net.IPAddress})/param/login;Login
M:StockSharp.Community.CommunityAuthorization.SaveUser(System.String,System.Security.SecureString,System.Collections.Generic.IEnumerable{System.Net.IPAddress})/param/password;Password
M:StockSharp.Community.CommunityAuthorization.SaveUser(System.String,System.Security.SecureString,System.Collections.Generic.IEnumerable{System.Net.IPAddress})/param/possibleAddresses;DocStr9684
M:StockSharp.Community.CommunityAuthorization.DeleteUser(System.String)/summary;DocStr9685
M:StockSharp.Community.CommunityAuthorization.DeleteUser(System.String)/param/login;Login
M:StockSharp.Community.CommunityAuthorization.DeleteUser(System.String)/returns;DocStr9686
P:StockSharp.Community.CommunityAuthorization.AllUsers/summary;DocStr9688
T:StockSharp.Community.FileClient/summary;DocStr2993
M:StockSharp.Community.FileClient.#ctor/summary;DocStr1
M:StockSharp.Community.FileClient.#ctor(System.Uri)/summary;DocStr1
M:StockSharp.Community.FileClient.#ctor(System.Uri)/param/address;DocStr2962
M:StockSharp.Community.FileClient.GetFile(System.Int64,System.Action{System.Int32},System.Func{System.Boolean})/summary;DocStr9030
M:StockSharp.Community.FileClient.GetFile(System.Int64,System.Action{System.Int32},System.Func{System.Boolean})/param/id;DocStr9031
M:StockSharp.Community.FileClient.GetFile(System.Int64,System.Action{System.Int32},System.Func{System.Boolean})/param/progress;DocStr9091
M:StockSharp.Community.FileClient.GetFile(System.Int64,System.Action{System.Int32},System.Func{System.Boolean})/param/cancel;DocStr9780
M:StockSharp.Community.FileClient.GetFile(System.Int64,System.Action{System.Int32},System.Func{System.Boolean})/returns;DocStr9032
M:StockSharp.Community.FileClient.GetFileInfo(System.Int64)/summary;DocStr9030
M:StockSharp.Community.FileClient.GetFileInfo(System.Int64)/param/id;DocStr9031
M:StockSharp.Community.FileClient.GetFileInfo(System.Int64)/returns;DocStr9032
M:StockSharp.Community.FileClient.Download(StockSharp.Community.FileData,System.Action{System.Int32},System.Func{System.Boolean})/summary;DocStr9088
M:StockSharp.Community.FileClient.Download(StockSharp.Community.FileData,System.Action{System.Int32},System.Func{System.Boolean})/param/data;DocStr9032
M:StockSharp.Community.FileClient.Download(StockSharp.Community.FileData,System.Action{System.Int32},System.Func{System.Boolean})/param/progress;DocStr9091
M:StockSharp.Community.FileClient.Download(StockSharp.Community.FileData,System.Action{System.Int32},System.Func{System.Boolean})/param/cancel;DocStr9780
M:StockSharp.Community.FileClient.Download(StockSharp.Community.FileData,System.Action{System.Int32},System.Func{System.Boolean})/returns;DocStr10237
M:StockSharp.Community.FileClient.Update(StockSharp.Community.FileData,System.Action{System.Int32},System.Func{System.Boolean})/summary;DocStr9089
M:StockSharp.Community.FileClient.Update(StockSharp.Community.FileData,System.Action{System.Int32},System.Func{System.Boolean})/param/data;DocStr9090
M:StockSharp.Community.FileClient.Update(StockSharp.Community.FileData,System.Action{System.Int32},System.Func{System.Boolean})/param/progress;DocStr9091
M:StockSharp.Community.FileClient.Update(StockSharp.Community.FileData,System.Action{System.Int32},System.Func{System.Boolean})/param/cancel;DocStr9780
