T:StockSharp.Cryptopia.CryptopiaMessageAdapter/summary;DocStr2538
M:StockSharp.Cryptopia.CryptopiaMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Cryptopia.CryptopiaMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Cryptopia.CryptopiaMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
P:StockSharp.Cryptopia.CryptopiaMessageAdapter.SupportedOrderBookDepths/inheritdoc;DocStr8459
M:StockSharp.Cryptopia.CryptopiaMessageAdapter.GetHistoryStepSize(StockSharp.Messages.DataType,System.TimeSpan@)/inheritdoc;DocStr8459
P:StockSharp.Cryptopia.CryptopiaMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.Cryptopia.CryptopiaMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.Cryptopia.CryptopiaMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.Cryptopia.CryptopiaMessageAdapter.Secret/inheritdoc;DocStr8459
P:StockSharp.Cryptopia.CryptopiaMessageAdapter.BalanceCheckInterval/summary;BalanceCheckInterval
M:StockSharp.Cryptopia.CryptopiaMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Cryptopia.CryptopiaMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Cryptopia.CryptopiaMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.Cryptopia.CryptopiaOrderCondition/summary;DocStr60
M:StockSharp.Cryptopia.CryptopiaOrderCondition.#ctor/summary;DocStr1
T:StockSharp.Cryptopia.CryptopiaTrader/summary;DocStr2539
M:StockSharp.Cryptopia.CryptopiaTrader.#ctor/summary;DocStr1
P:StockSharp.Cryptopia.CryptopiaTrader.Key/summary;Str3304
P:StockSharp.Cryptopia.CryptopiaTrader.Secret/summary;DocStr3146
P:StockSharp.Cryptopia.CryptopiaTrader.BalanceCheckInterval/summary;BalanceCheckInterval
