T:StockSharp.Digifinex.DigifinexMessageAdapter/summary;DocStr2538
M:StockSharp.Digifinex.DigifinexMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Digifinex.DigifinexMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Digifinex.DigifinexMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
M:StockSharp.Digifinex.DigifinexMessageAdapter.GetTimeFrames(StockSharp.Messages.SecurityId,System.Nullable{System.DateTimeOffset},System.Nullable{System.DateTimeOffset})/inheritdoc;DocStr8459
P:StockSharp.Digifinex.DigifinexMessageAdapter.IsSupportOrderBookIncrements/inheritdoc;DocStr8459
M:StockSharp.Digifinex.DigifinexMessageAdapter.GetHistoryStepSize(StockSharp.Messages.DataType,System.TimeSpan@)/inheritdoc;DocStr8459
P:StockSharp.Digifinex.DigifinexMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.Digifinex.DigifinexMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.Digifinex.DigifinexMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.Digifinex.DigifinexMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.Digifinex.DigifinexMessageAdapter.Secret/inheritdoc;DocStr8459
P:StockSharp.Digifinex.DigifinexMessageAdapter.Address/inheritdoc;DocStr8459
P:StockSharp.Digifinex.DigifinexMessageAdapter.BalanceCheckInterval/summary;BalanceCheckInterval
M:StockSharp.Digifinex.DigifinexMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Digifinex.DigifinexMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Digifinex.DigifinexMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.Digifinex.DigifinexTrader/summary;DocStr2539
M:StockSharp.Digifinex.DigifinexTrader.#ctor/summary;DocStr1
P:StockSharp.Digifinex.DigifinexTrader.Key/summary;Str3304
P:StockSharp.Digifinex.DigifinexTrader.Secret/summary;DocStr3146
P:StockSharp.Digifinex.DigifinexTrader.Domain/summary;Str3486
P:StockSharp.Digifinex.DigifinexTrader.BalanceCheckInterval/summary;BalanceCheckInterval
