T:StockSharp.FatBTC.FatBtcMessageAdapter/summary;DocStr2538
M:StockSharp.FatBTC.FatBtcMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.FatBTC.FatBtcMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.FatBTC.FatBtcMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
M:StockSharp.FatBTC.FatBtcMessageAdapter.GetTimeFrames(StockSharp.Messages.SecurityId,System.Nullable{System.DateTimeOffset},System.Nullable{System.DateTimeOffset})/inheritdoc;DocStr8459
P:StockSharp.FatBTC.FatBtcMessageAdapter.IsSupportCandlesUpdates/inheritdoc;DocStr8459
P:StockSharp.FatBTC.FatBtcMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.FatBTC.FatBtcMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.FatBTC.FatBtcMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.FatBTC.FatBtcMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.FatBTC.FatBtcMessageAdapter.Secret/inheritdoc;DocStr8459
P:StockSharp.FatBTC.FatBtcMessageAdapter.BalanceCheckInterval/summary;BalanceCheckInterval
P:StockSharp.FatBTC.FatBtcMessageAdapter.Address/inheritdoc;DocStr8459
M:StockSharp.FatBTC.FatBtcMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.FatBTC.FatBtcMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.FatBTC.FatBtcMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.FatBTC.FatBtcOrderCondition/summary;DocStr60
M:StockSharp.FatBTC.FatBtcOrderCondition.#ctor/summary;DocStr1
