T:StockSharp.Gopax.GopaxMessageAdapter/summary;DocStr2538
M:StockSharp.Gopax.GopaxMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Gopax.GopaxMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Gopax.GopaxMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
M:StockSharp.Gopax.GopaxMessageAdapter.GetTimeFrames(StockSharp.Messages.SecurityId,System.Nullable{System.DateTimeOffset},System.Nullable{System.DateTimeOffset})/inheritdoc;DocStr8459
M:StockSharp.Gopax.GopaxMessageAdapter.GetHistoryStepSize(StockSharp.Messages.DataType,System.TimeSpan@)/inheritdoc;DocStr8459
P:StockSharp.Gopax.GopaxMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.Gopax.GopaxMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.Gopax.GopaxMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.Gopax.GopaxMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.Gopax.GopaxMessageAdapter.Secret/inheritdoc;DocStr8459
P:StockSharp.Gopax.GopaxMessageAdapter.BalanceCheckInterval/summary;BalanceCheckInterval
P:StockSharp.Gopax.GopaxMessageAdapter.Address/inheritdoc;DocStr8459
M:StockSharp.Gopax.GopaxMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Gopax.GopaxMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Gopax.GopaxMessageAdapter.ToString/inheritdoc;DocStr8459
