T:StockSharp.Huobi.HuobiMessageAdapter/summary;DocStr2538
M:StockSharp.Huobi.HuobiMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Huobi.HuobiMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Huobi.HuobiMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
M:StockSharp.Huobi.HuobiMessageAdapter.GetTimeFrames(StockSharp.Messages.SecurityId,System.Nullable{System.DateTimeOffset},System.Nullable{System.DateTimeOffset})/inheritdoc;DocStr8459
P:StockSharp.Huobi.HuobiMessageAdapter.IsSupportCandlesUpdates/inheritdoc;DocStr8459
M:StockSharp.Huobi.HuobiMessageAdapter.GetHistoryStepSize(StockSharp.Messages.DataType,System.TimeSpan@)/inheritdoc;DocStr8459
P:StockSharp.Huobi.HuobiMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.Huobi.HuobiMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.Huobi.HuobiMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.Huobi.HuobiMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.Huobi.HuobiMessageAdapter.Secret/inheritdoc;DocStr8459
P:StockSharp.Huobi.HuobiMessageAdapter.BalanceCheckInterval/summary;BalanceCheckInterval
M:StockSharp.Huobi.HuobiMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Huobi.HuobiMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Huobi.HuobiMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.Huobi.HuobiOrderCondition/summary;DocStr60
M:StockSharp.Huobi.HuobiOrderCondition.#ctor/summary;DocStr1
T:StockSharp.Huobi.HuobiTrader/summary;DocStr2539
M:StockSharp.Huobi.HuobiTrader.#ctor/summary;DocStr1
P:StockSharp.Huobi.HuobiTrader.Key/summary;Str3304
P:StockSharp.Huobi.HuobiTrader.Secret/summary;DocStr3146
P:StockSharp.Huobi.HuobiTrader.BalanceCheckInterval/summary;BalanceCheckInterval
P:StockSharp.Huobi.HuobiTrader.UseHadax/summary;UseHadax
