T:StockSharp.IEX.IEXMessageAdapter/summary;DocStr2538
M:StockSharp.IEX.IEXMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.IEX.IEXMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.IEX.IEXMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
P:StockSharp.IEX.IEXMessageAdapter.IsSecurityNewsOnly/inheritdoc;DocStr8459
M:StockSharp.IEX.IEXMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.IEX.IEXMessageAdapter.Token/inheritdoc;DocStr8459
M:StockSharp.IEX.IEXMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.IEX.IEXMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.IEX.IEXMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.IEX.IEXTrader/summary;DocStr2539
M:StockSharp.IEX.IEXTrader.#ctor/summary;DocStr1
P:StockSharp.IEX.IEXTrader.Token/summary;DocStr3145
