T:StockSharp.IQFeed.IQFeedLevel1ColumnComboBox/summary;DocStr8287
M:StockSharp.IQFeed.IQFeedLevel1ColumnComboBox.#ctor/summary;DocStr1
M:StockSharp.IQFeed.IQFeedLevel1ColumnComboBox.OnLoadedInternal/summary;DocStr9860
F:StockSharp.IQFeed.IQFeedLevel1ColumnComboBox.SelectedFieldsProperty/summary;DocStr29
P:StockSharp.IQFeed.IQFeedLevel1ColumnComboBox.SelectedFields/summary;DocStr8288
T:StockSharp.IQFeed.IQFeedMarketDataMessageAdapter/summary;DocStr3696
P:StockSharp.IQFeed.IQFeedMarketDataMessageAdapter.Level1Address/summary;Str2123
P:StockSharp.IQFeed.IQFeedMarketDataMessageAdapter.Level2Address/summary;Str2125
P:StockSharp.IQFeed.IQFeedMarketDataMessageAdapter.LookupAddress/summary;Str2127
P:StockSharp.IQFeed.IQFeedMarketDataMessageAdapter.AdminAddress/summary;Str2129
P:StockSharp.IQFeed.IQFeedMarketDataMessageAdapter.DerivativeAddress/summary;Str2130
P:StockSharp.IQFeed.IQFeedMarketDataMessageAdapter.Level1Columns/summary;DocStr3697
P:StockSharp.IQFeed.IQFeedMarketDataMessageAdapter.SecurityTypesFilter/summary;Str2134
P:StockSharp.IQFeed.IQFeedMarketDataMessageAdapter.IsDownloadSecurityFromSite/summary;DocStr3698
P:StockSharp.IQFeed.IQFeedMarketDataMessageAdapter.SecuritiesFile/summary;Str2138
F:StockSharp.IQFeed.IQFeedMarketDataMessageAdapter.DefaultVersion/summary;DocStr9884
P:StockSharp.IQFeed.IQFeedMarketDataMessageAdapter.Version/summary;DocStr9384
P:StockSharp.IQFeed.IQFeedMarketDataMessageAdapter.Level1ColumnRegistry/summary;DocStr3699
P:StockSharp.IQFeed.IQFeedMarketDataMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.IQFeed.IQFeedMarketDataMessageAdapter.TimeFrames/inheritdoc;DocStr8459
M:StockSharp.IQFeed.IQFeedMarketDataMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.IQFeed.IQFeedMarketDataMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.IQFeed.IQFeedMarketDataMessageAdapter.ToString/summary;DocStr49
M:StockSharp.IQFeed.IQFeedMarketDataMessageAdapter.ToString/returns;DocStr50
M:StockSharp.IQFeed.IQFeedMarketDataMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.IQFeed.IQFeedMarketDataMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
P:StockSharp.IQFeed.IQFeedMarketDataMessageAdapter.IsSupportNativeSecurityLookup/inheritdoc;DocStr8459
P:StockSharp.IQFeed.IQFeedMarketDataMessageAdapter.SecurityLookupRequired/inheritdoc;DocStr8459
P:StockSharp.IQFeed.IQFeedMarketDataMessageAdapter.IsSupportSecuritiesLookupAll/inheritdoc;DocStr8459
P:StockSharp.IQFeed.IQFeedMarketDataMessageAdapter.IsSupportCandlesUpdates/inheritdoc;DocStr8459
M:StockSharp.IQFeed.IQFeedMarketDataMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
T:StockSharp.IQFeed.IQFeedAddresses/summary;DocStr3700
F:StockSharp.IQFeed.IQFeedAddresses.DefaultAdminAddress/summary;DocStr3701
F:StockSharp.IQFeed.IQFeedAddresses.DefaultLookupAddress/summary;DocStr3702
F:StockSharp.IQFeed.IQFeedAddresses.DefaultLevel2Address/summary;DocStr3703
F:StockSharp.IQFeed.IQFeedAddresses.DefaultLevel1Address/summary;DocStr3704
F:StockSharp.IQFeed.IQFeedAddresses.DefaultDerivativeAddress/summary;DocStr3705
T:StockSharp.IQFeed.IQFeedLevel1Column/summary;DocStr3706
P:StockSharp.IQFeed.IQFeedLevel1Column.Name/summary;DocStr3707
P:StockSharp.IQFeed.IQFeedLevel1Column.Type/summary;Str2133
P:StockSharp.IQFeed.IQFeedLevel1Column.Format/summary;DocStr3708
M:StockSharp.IQFeed.IQFeedLevel1Column.ToString/summary;DocStr49
M:StockSharp.IQFeed.IQFeedLevel1Column.ToString/returns;DocStr50
T:StockSharp.IQFeed.IQFeedLevel1ColumnRegistry/summary;DocStr3699
P:StockSharp.IQFeed.IQFeedLevel1ColumnRegistry.Instance/summary;DocStr9763
P:StockSharp.IQFeed.IQFeedLevel1ColumnRegistry.Item(System.String)/summary;DocStr3751
P:StockSharp.IQFeed.IQFeedLevel1ColumnRegistry.Item(System.String)/param/name;DocStr3707
P:StockSharp.IQFeed.IQFeedLevel1ColumnRegistry.Item(System.String)/returns;DocStr3753
P:StockSharp.IQFeed.IQFeedLevel1ColumnRegistry.AllColumns/summary;DocStr9764
