T:StockSharp.Idax.IdaxMessageAdapter/summary;DocStr2538
M:StockSharp.Idax.IdaxMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Idax.IdaxMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Idax.IdaxMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
M:StockSharp.Idax.IdaxMessageAdapter.GetTimeFrames(StockSharp.Messages.SecurityId,System.Nullable{System.DateTimeOffset},System.Nullable{System.DateTimeOffset})/inheritdoc;DocStr8459
P:StockSharp.Idax.IdaxMessageAdapter.IsSupportOrderBookIncrements/inheritdoc;DocStr8459
P:StockSharp.Idax.IdaxMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.Idax.IdaxMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.Idax.IdaxMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.Idax.IdaxMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.Idax.IdaxMessageAdapter.Secret/inheritdoc;DocStr8459
P:StockSharp.Idax.IdaxMessageAdapter.BalanceCheckInterval/summary;BalanceCheckInterval
M:StockSharp.Idax.IdaxMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Idax.IdaxMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Idax.IdaxMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.Idax.IdaxOrderCondition/summary;DocStr60
M:StockSharp.Idax.IdaxOrderCondition.#ctor/summary;DocStr1
P:StockSharp.Idax.IdaxOrderCondition.PostOnly/summary;PostOnlyOrder
P:StockSharp.Idax.IdaxOrderCondition.StockSharp#Messages#IStopLossOrderCondition#ClosePositionPrice/inheritdoc;DocStr8459
P:StockSharp.Idax.IdaxOrderCondition.StopLossActivationPrice/summary;DocStr398
P:StockSharp.Idax.IdaxOrderCondition.TakeProfitActivationPrice/summary;DocStr398
P:StockSharp.Idax.IdaxOrderCondition.IsStopLossTrailing/summary;Str3446
T:StockSharp.Idax.IdaxTrader/summary;DocStr2539
M:StockSharp.Idax.IdaxTrader.#ctor/summary;DocStr1
P:StockSharp.Idax.IdaxTrader.Key/summary;Str3304
P:StockSharp.Idax.IdaxTrader.Secret/summary;DocStr3146
P:StockSharp.Idax.IdaxTrader.BalanceCheckInterval/summary;BalanceCheckInterval
