T:StockSharp.Kucoin.KucoinMessageAdapter/summary;DocStr2538
M:StockSharp.Kucoin.KucoinMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Kucoin.KucoinMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Kucoin.KucoinMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
M:StockSharp.Kucoin.KucoinMessageAdapter.GetTimeFrames(StockSharp.Messages.SecurityId,System.Nullable{System.DateTimeOffset},System.Nullable{System.DateTimeOffset})/inheritdoc;DocStr8459
P:StockSharp.Kucoin.KucoinMessageAdapter.IsSupportOrderBookIncrements/inheritdoc;DocStr8459
P:StockSharp.Kucoin.KucoinMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.Kucoin.KucoinMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.Kucoin.KucoinMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.Kucoin.KucoinMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.Kucoin.KucoinMessageAdapter.Secret/inheritdoc;DocStr8459
P:StockSharp.Kucoin.KucoinMessageAdapter.Passphrase/summary;Passphrase
P:StockSharp.Kucoin.KucoinMessageAdapter.IsDemo/inheritdoc;DocStr8459
P:StockSharp.Kucoin.KucoinMessageAdapter.BalanceCheckInterval/summary;BalanceCheckInterval
M:StockSharp.Kucoin.KucoinMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Kucoin.KucoinMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Kucoin.KucoinMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.Kucoin.KucoinOrderCondition/summary;DocStr60
M:StockSharp.Kucoin.KucoinOrderCondition.#ctor/summary;DocStr1
P:StockSharp.Kucoin.KucoinOrderCondition.StopPrice/summary;Str3460
P:StockSharp.Kucoin.KucoinOrderCondition.PostOnly/summary;PostOnlyOrder
T:StockSharp.Kucoin.KucoinTrader/summary;DocStr2539
M:StockSharp.Kucoin.KucoinTrader.#ctor/summary;DocStr1
P:StockSharp.Kucoin.KucoinTrader.Key/summary;Str3304
P:StockSharp.Kucoin.KucoinTrader.Secret/summary;DocStr3146
P:StockSharp.Kucoin.KucoinTrader.Passphrase/summary;Passphrase
P:StockSharp.Kucoin.KucoinTrader.IsDemo/summary;Str3388
P:StockSharp.Kucoin.KucoinTrader.BalanceCheckInterval/summary;BalanceCheckInterval
