T:StockSharp.LATOKEN.LatokenMessageAdapter/summary;DocStr2538
M:StockSharp.LATOKEN.LatokenMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.LATOKEN.LatokenMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.LATOKEN.LatokenMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
P:StockSharp.LATOKEN.LatokenMessageAdapter.IsSupportOrderBookIncrements/inheritdoc;DocStr8459
P:StockSharp.LATOKEN.LatokenMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.LATOKEN.LatokenMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.LATOKEN.LatokenMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.LATOKEN.LatokenMessageAdapter.Secret/inheritdoc;DocStr8459
M:StockSharp.LATOKEN.LatokenMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.LATOKEN.LatokenMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.LATOKEN.LatokenMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.LATOKEN.LatokenOrderCondition/summary;DocStr60
M:StockSharp.LATOKEN.LatokenOrderCondition.#ctor/summary;DocStr1
