T:StockSharp.LiveCoin.LiveCoinMessageAdapter/summary;DocStr2538
M:StockSharp.LiveCoin.LiveCoinMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.LiveCoin.LiveCoinMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.LiveCoin.LiveCoinMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
P:StockSharp.LiveCoin.LiveCoinMessageAdapter.SupportedOrderBookDepths/inheritdoc;DocStr8459
M:StockSharp.LiveCoin.LiveCoinMessageAdapter.GetTimeFrames(StockSharp.Messages.SecurityId,System.Nullable{System.DateTimeOffset},System.Nullable{System.DateTimeOffset})/inheritdoc;DocStr8459
P:StockSharp.LiveCoin.LiveCoinMessageAdapter.IsSupportOrderBookIncrements/inheritdoc;DocStr8459
M:StockSharp.LiveCoin.LiveCoinMessageAdapter.GetHistoryStepSize(StockSharp.Messages.DataType,System.TimeSpan@)/inheritdoc;DocStr8459
P:StockSharp.LiveCoin.LiveCoinMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.LiveCoin.LiveCoinMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.LiveCoin.LiveCoinMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.LiveCoin.LiveCoinMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.LiveCoin.LiveCoinMessageAdapter.Secret/inheritdoc;DocStr8459
M:StockSharp.LiveCoin.LiveCoinMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.LiveCoin.LiveCoinMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.LiveCoin.LiveCoinMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.LiveCoin.LiveCoinOrderCondition/summary;DocStr60
M:StockSharp.LiveCoin.LiveCoinOrderCondition.#ctor/summary;DocStr1
T:StockSharp.LiveCoin.LiveCoinTrader/summary;DocStr2539
M:StockSharp.LiveCoin.LiveCoinTrader.#ctor/summary;DocStr1
P:StockSharp.LiveCoin.LiveCoinTrader.Key/summary;Str3304
P:StockSharp.LiveCoin.LiveCoinTrader.Secret/summary;DocStr3146
