T:StockSharp.MBTrading.MBTradingMessageAdapter/summary;DocStr2538
M:StockSharp.MBTrading.MBTradingMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.MBTrading.MBTradingMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.MBTrading.MBTradingMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
M:StockSharp.MBTrading.MBTradingMessageAdapter.GetHistoryStepSize(StockSharp.Messages.DataType,System.TimeSpan@)/inheritdoc;DocStr8459
M:StockSharp.MBTrading.MBTradingMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.MBTrading.MBTradingMessageAdapter.Login/inheritdoc;DocStr8459
P:StockSharp.MBTrading.MBTradingMessageAdapter.Password/inheritdoc;DocStr8459
P:StockSharp.MBTrading.MBTradingMessageAdapter.Pin/summary;Pin
P:StockSharp.MBTrading.MBTradingMessageAdapter.MaxAttempt/summary;DocStr131
M:StockSharp.MBTrading.MBTradingMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.MBTrading.MBTradingMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.MBTrading.MBTradingMessageAdapter.ToString/inheritdoc;DocStr8459
