T:StockSharp.MatLab.ErrorEventArgs/summary;DocStr4025
P:StockSharp.MatLab.ErrorEventArgs.Error/summary;DocStr4509
T:StockSharp.MatLab.SecurityEventArgs/summary;DocStr4026
P:StockSharp.MatLab.SecurityEventArgs.Security/summary;DocStr2831
T:StockSharp.MatLab.OrderEventArgs/summary;DocStr4027
P:StockSharp.MatLab.OrderEventArgs.Order/summary;Str504
T:StockSharp.MatLab.OrderFailEventArgs/summary;DocStr4028
P:StockSharp.MatLab.OrderFailEventArgs.OrderFail/summary;Str152
T:StockSharp.MatLab.TradeEventArgs/summary;DocStr4029
P:StockSharp.MatLab.TradeEventArgs.Trade/summary;Str506
T:StockSharp.MatLab.MyTradeEventArgs/summary;DocStr4030
P:StockSharp.MatLab.MyTradeEventArgs.Trade/summary;Str506
T:StockSharp.MatLab.PortfolioEventArgs/summary;DocStr4031
P:StockSharp.MatLab.PortfolioEventArgs.Portfolio/summary;Portfolio
T:StockSharp.MatLab.PositionEventArgs/summary;DocStr4032
P:StockSharp.MatLab.PositionEventArgs.Position/summary;Str862
T:StockSharp.MatLab.MarketDepthEventArgs/summary;DocStr4033
P:StockSharp.MatLab.MarketDepthEventArgs.Depth/summary;MarketDepth
T:StockSharp.MatLab.OrderLogItemEventArgs/summary;DocStr4034
P:StockSharp.MatLab.OrderLogItemEventArgs.Item/summary;DocStr4035
T:StockSharp.MatLab.CandleEventArgs/summary;DocStr10815
P:StockSharp.MatLab.CandleEventArgs.Series/summary;CandlesSeries
P:StockSharp.MatLab.CandleEventArgs.Candle/summary;DocStr491
T:StockSharp.MatLab.MatLabConnector/summary;DocStr4036
M:StockSharp.MatLab.MatLabConnector.#ctor/summary;DocStr1
M:StockSharp.MatLab.MatLabConnector.AddAdapter(StockSharp.Messages.IMessageAdapter,System.String)/summary;DocStr12024
M:StockSharp.MatLab.MatLabConnector.AddAdapter(StockSharp.Messages.IMessageAdapter,System.String)/param/adapter;Adapter
M:StockSharp.MatLab.MatLabConnector.AddAdapter(StockSharp.Messages.IMessageAdapter,System.String)/param/initString;DocStr12025
P:StockSharp.MatLab.MatLabConnector.RealConnector/summary;DocStr4037
E:StockSharp.MatLab.MatLabConnector.Connected/summary;DocStr890
E:StockSharp.MatLab.MatLabConnector.ConnectionError/summary;DocStr892
E:StockSharp.MatLab.MatLabConnector.Disconnected/summary;DocStr891
E:StockSharp.MatLab.MatLabConnector.Error/summary;DocStr893
E:StockSharp.MatLab.MatLabConnector.MarketTimeChanged/summary;DocStr886
E:StockSharp.MatLab.MatLabConnector.NewSecurity/summary;DocStr8552
E:StockSharp.MatLab.MatLabConnector.SecurityChanged/summary;DocStr898
E:StockSharp.MatLab.MatLabConnector.NewPortfolio/summary;DocStr8929
E:StockSharp.MatLab.MatLabConnector.PortfolioChanged/summary;DocStr8554
E:StockSharp.MatLab.MatLabConnector.NewPosition/summary;DocStr8555
E:StockSharp.MatLab.MatLabConnector.PositionChanged/summary;DocStr8556
E:StockSharp.MatLab.MatLabConnector.NewTrade/summary;DocStr8547
E:StockSharp.MatLab.MatLabConnector.NewMyTrade/summary;DocStr8546
E:StockSharp.MatLab.MatLabConnector.NewOrder/summary;DocStr8548
E:StockSharp.MatLab.MatLabConnector.OrderChanged/summary;DocStr8549
E:StockSharp.MatLab.MatLabConnector.OrderRegisterFailed/summary;DocStr8550
E:StockSharp.MatLab.MatLabConnector.OrderCancelFailed/summary;DocStr8551
E:StockSharp.MatLab.MatLabConnector.NewMarketDepth/summary;DocStr8557
E:StockSharp.MatLab.MatLabConnector.MarketDepthChanged/summary;DocStr8558
E:StockSharp.MatLab.MatLabConnector.NewOrderLogItem/summary;DocStr885
E:StockSharp.MatLab.MatLabConnector.CandleSeriesProcessing/summary;DocStr464
E:StockSharp.MatLab.MatLabConnector.CandleSeriesStopped/summary;DocStr91
M:StockSharp.MatLab.MatLabConnector.LookupSecurity(System.String)/summary;DocStr9266
M:StockSharp.MatLab.MatLabConnector.LookupSecurity(System.String)/param/criteria;DocStr111
M:StockSharp.MatLab.MatLabConnector.DisposeManaged/summary;DocStr7
