T:StockSharp.Oanda.OandaMessageAdapter/summary;DocStr5923
M:StockSharp.Oanda.OandaMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Oanda.OandaMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Oanda.OandaMessageAdapter.CreateOrderCondition/inheritdoc;DocStr8459
P:StockSharp.Oanda.OandaMessageAdapter.IsSupportStopLoss/inheritdoc;DocStr8459
P:StockSharp.Oanda.OandaMessageAdapter.IsSupportTakeProfit/inheritdoc;DocStr8459
P:StockSharp.Oanda.OandaMessageAdapter.IsSupportNativeSecurityLookup/inheritdoc;DocStr8459
P:StockSharp.Oanda.OandaMessageAdapter.IsSupportNativePortfolioLookup/inheritdoc;DocStr8459
P:StockSharp.Oanda.OandaMessageAdapter.IsSupportSecuritiesLookupAll/inheritdoc;DocStr8459
M:StockSharp.Oanda.OandaMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
F:StockSharp.Oanda.OandaMessageAdapter.DefaultHeartbeatInterval/summary;DocStr9884
P:StockSharp.Oanda.OandaMessageAdapter.Server/summary;Str3416
P:StockSharp.Oanda.OandaMessageAdapter.Token/summary;DocStr3145
P:StockSharp.Oanda.OandaMessageAdapter.UseCompression/summary;Str3423
P:StockSharp.Oanda.OandaMessageAdapter.LogOnlyTransactions/summary;OnlyTransactionsLog
P:StockSharp.Oanda.OandaMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.Oanda.OandaMessageAdapter.TimeFrames/inheritdoc;DocStr8459
M:StockSharp.Oanda.OandaMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/summary;DocStr4
M:StockSharp.Oanda.OandaMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/param/storage;DocStr3
M:StockSharp.Oanda.OandaMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/summary;DocStr2
M:StockSharp.Oanda.OandaMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/param/storage;DocStr3
T:StockSharp.Oanda.OandaOrderCondition/summary;DocStr60
M:StockSharp.Oanda.OandaOrderCondition.#ctor/summary;DocStr1
P:StockSharp.Oanda.OandaOrderCondition.IsMarket/summary;Str3442
P:StockSharp.Oanda.OandaOrderCondition.LowerBound/summary;Str3444
P:StockSharp.Oanda.OandaOrderCondition.UpperBound/summary;Str3445
P:StockSharp.Oanda.OandaOrderCondition.StopLossOffset/summary;Str3383
P:StockSharp.Oanda.OandaOrderCondition.TakeProfitOffset/summary;Str3385
P:StockSharp.Oanda.OandaOrderCondition.TrailingStopLossOffset/summary;Str3447
T:StockSharp.Oanda.OandaServers/summary;DocStr5924
F:StockSharp.Oanda.OandaServers.Sandbox/summary;Demo
F:StockSharp.Oanda.OandaServers.Practice/summary;Str1209
F:StockSharp.Oanda.OandaServers.Real/summary;Str3463
T:StockSharp.Oanda.OandaTrader/summary;DocStr2539
M:StockSharp.Oanda.OandaTrader.#ctor/summary;DocStr1
P:StockSharp.Oanda.OandaTrader.Server/summary;Str3416
P:StockSharp.Oanda.OandaTrader.Token/summary;DocStr3145
P:StockSharp.Oanda.OandaTrader.UseCompression/summary;Str3423
P:StockSharp.Oanda.OandaTrader.LogOnlyTransactions/summary;OnlyTransactionsLog
