T:StockSharp.Okcoin.OkcoinMessageAdapter/summary;DocStr2538
P:StockSharp.Okcoin.OkcoinMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.Okcoin.OkcoinMessageAdapter.Key/summary;Str3304
P:StockSharp.Okcoin.OkcoinMessageAdapter.Secret/summary;DocStr3146
P:StockSharp.Okcoin.OkcoinMessageAdapter.AdminPassword/summary;AdminPassword
M:StockSharp.Okcoin.OkcoinMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/summary;DocStr4
M:StockSharp.Okcoin.OkcoinMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/param/storage;DocStr3
M:StockSharp.Okcoin.OkcoinMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/summary;DocStr2
M:StockSharp.Okcoin.OkcoinMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/param/storage;DocStr3
M:StockSharp.Okcoin.OkcoinMessageAdapter.ToString/summary;DocStr49
M:StockSharp.Okcoin.OkcoinMessageAdapter.ToString/returns;DocStr50
M:StockSharp.Okcoin.OkcoinMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Okcoin.OkcoinMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Okcoin.OkcoinMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
T:StockSharp.Okcoin.OkcoinOrderCondition/summary;DocStr60
M:StockSharp.Okcoin.OkcoinOrderCondition.#ctor/summary;DocStr1
T:StockSharp.Okcoin.OkcoinTrader/summary;DocStr2539
M:StockSharp.Okcoin.OkcoinTrader.#ctor/summary;DocStr1
P:StockSharp.Okcoin.OkcoinTrader.Key/summary;Str3304
P:StockSharp.Okcoin.OkcoinTrader.Secret/summary;DocStr3146
P:StockSharp.Okcoin.OkcoinTrader.AdminPassword/summary;AdminPassword
