T:StockSharp.OpenECry.OpenECryMessageAdapter/summary;DocStr5926
M:StockSharp.OpenECry.OpenECryMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.OpenECry.OpenECryMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr43
M:StockSharp.OpenECry.OpenECryMessageAdapter.CreateOrderCondition/summary;DocStr44
M:StockSharp.OpenECry.OpenECryMessageAdapter.CreateOrderCondition/returns;DocStr45
M:StockSharp.OpenECry.OpenECryMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/summary;DocStr46
M:StockSharp.OpenECry.OpenECryMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/param/message;Str3166
M:StockSharp.OpenECry.OpenECryMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/summary;DocStr4
M:StockSharp.OpenECry.OpenECryMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/param/storage;DocStr3
M:StockSharp.OpenECry.OpenECryMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/summary;DocStr2
M:StockSharp.OpenECry.OpenECryMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/param/storage;DocStr3
P:StockSharp.OpenECry.OpenECryMessageAdapter.SecurityLookupRequired/summary;DocStr452
P:StockSharp.OpenECry.OpenECryMessageAdapter.IsSupportNativePortfolioLookup/summary;DocStr51
P:StockSharp.OpenECry.OpenECryMessageAdapter.IsSupportNativeSecurityLookup/summary;DocStr52
P:StockSharp.OpenECry.OpenECryMessageAdapter.Address/summary;DocStr5927
P:StockSharp.OpenECry.OpenECryMessageAdapter.Login/summary;Str2563
P:StockSharp.OpenECry.OpenECryMessageAdapter.Password/summary;Str2564
P:StockSharp.OpenECry.OpenECryMessageAdapter.Uuid/summary;Str2565
P:StockSharp.OpenECry.OpenECryMessageAdapter.Remoting/summary;DocStr5928
P:StockSharp.OpenECry.OpenECryMessageAdapter.UseNativeReconnect/summary;DocStr5929
P:StockSharp.OpenECry.OpenECryMessageAdapter.EnableOECLogging/summary;Str2568
P:StockSharp.OpenECry.OpenECryMessageAdapter.TimeFrames/summary;DocStr2531
