T:StockSharp.Plaza.Metadata.PlazaAnonymousDealColumns/summary;DocStr5953
T:StockSharp.Plaza.Metadata.PlazaColumns/summary;DocStr5954
F:StockSharp.Plaza.Metadata.PlazaColumns.ReplId/summary;DocStr5955
F:StockSharp.Plaza.Metadata.PlazaColumns.ReplRev/summary;DocStr5955
F:StockSharp.Plaza.Metadata.PlazaColumns.ReplAct/summary;DocStr5955
P:StockSharp.Plaza.Metadata.PlazaColumns.AllColumns/summary;DocStr5956
F:StockSharp.Plaza.Metadata.PlazaAnonymousDealColumns.DealId/summary;DocStr5957
F:StockSharp.Plaza.Metadata.PlazaAnonymousDealColumns.SessionId/summary;DocStr5958
F:StockSharp.Plaza.Metadata.PlazaAnonymousDealColumns.IsinId/summary;DocStr5959
F:StockSharp.Plaza.Metadata.PlazaAnonymousDealColumns.Price/summary;Price
F:StockSharp.Plaza.Metadata.PlazaAnonymousDealColumns.Amount/summary;DocStr5960
F:StockSharp.Plaza.Metadata.PlazaAnonymousDealColumns.Moment/summary;DocStr5961
F:StockSharp.Plaza.Metadata.PlazaAnonymousDealColumns.Position/summary;DocStr5962
F:StockSharp.Plaza.Metadata.PlazaAnonymousDealColumns.SellOrderId/summary;DocStr5963
F:StockSharp.Plaza.Metadata.PlazaAnonymousDealColumns.BuyOrderId/summary;DocStr5964
F:StockSharp.Plaza.Metadata.PlazaAnonymousDealColumns.NoSystem/summary;DocStr5965
T:StockSharp.Plaza.Metadata.PlazaAnonymousMultiLegOrdersLogColumns/summary;DocStr5966
T:StockSharp.Plaza.Metadata.PlazaAnonymousOrdersLogColumns/summary;DocStr5967
T:StockSharp.Plaza.Metadata.PlazaBaseOrdersColumns/summary;DocStr5968
F:StockSharp.Plaza.Metadata.PlazaBaseOrdersColumns.OrderId/summary;DocStr5612
F:StockSharp.Plaza.Metadata.PlazaBaseOrdersColumns.SessionId/summary;DocStr5958
F:StockSharp.Plaza.Metadata.PlazaBaseOrdersColumns.Moment/summary;DocStr5969
F:StockSharp.Plaza.Metadata.PlazaBaseOrdersColumns.Status/summary;DocStr4666
F:StockSharp.Plaza.Metadata.PlazaBaseOrdersColumns.Action/summary;DocStr5970
F:StockSharp.Plaza.Metadata.PlazaBaseOrdersColumns.IsinId/summary;DocStr5959
F:StockSharp.Plaza.Metadata.PlazaBaseOrdersColumns.Direction/summary;Str128
F:StockSharp.Plaza.Metadata.PlazaBaseOrdersColumns.Price/summary;Price
F:StockSharp.Plaza.Metadata.PlazaBaseOrdersColumns.AmountOperation/summary;DocStr5971
F:StockSharp.Plaza.Metadata.PlazaBaseOrdersColumns.AmountRest/summary;DocStr5972
F:StockSharp.Plaza.Metadata.PlazaAnonymousOrdersLogColumns.DealId/summary;DocStr5973
F:StockSharp.Plaza.Metadata.PlazaAnonymousOrdersLogColumns.DealPrice/summary;DocStr5974
F:StockSharp.Plaza.Metadata.PlazaAnonymousMultiLegOrdersLogColumns.RatePrice/summary;DocStr5975
F:StockSharp.Plaza.Metadata.PlazaAnonymousMultiLegOrdersLogColumns.SwapPrice/summary;DocStr5976
T:StockSharp.Plaza.Metadata.PlazaAnonymousOrdersBookColumns/summary;DocStr5977
F:StockSharp.Plaza.Metadata.PlazaAnonymousOrdersBookColumns.ClientCode/summary;ClientCode
F:StockSharp.Plaza.Metadata.PlazaAnonymousOrdersBookColumns.InitMoment/summary;DocStr5978
F:StockSharp.Plaza.Metadata.PlazaAnonymousOrdersBookColumns.InitAmount/summary;DocStr5979
T:StockSharp.Plaza.Metadata.PlazaAnonymousOrdersBookInfoColumns/summary;DocStr5980
T:StockSharp.Plaza.Metadata.PlazaOrderBookInfoDerivativeColumns/summary;DocStr5981
F:StockSharp.Plaza.Metadata.PlazaOrderBookInfoDerivativeColumns.InfoId/summary;DocStr5982
F:StockSharp.Plaza.Metadata.PlazaOrderBookInfoDerivativeColumns.LogRevision/summary;DocStr5983
F:StockSharp.Plaza.Metadata.PlazaOrderBookInfoDerivativeColumns.Moment/summary;DocStr5984
T:StockSharp.Plaza.Metadata.PlazaClearingPositionDerivativeColumns/summary;DocStr5985
F:StockSharp.Plaza.Metadata.PlazaClearingPositionDerivativeColumns.IsinId/summary;DocStr5959
F:StockSharp.Plaza.Metadata.PlazaClearingPositionDerivativeColumns.SessionId/summary;DocStr5958
F:StockSharp.Plaza.Metadata.PlazaClearingPositionDerivativeColumns.Isin/summary;DocStr5986
F:StockSharp.Plaza.Metadata.PlazaClearingPositionDerivativeColumns.ClientCode/summary;ClientCode
F:StockSharp.Plaza.Metadata.PlazaClearingPositionDerivativeColumns.AccountType/summary;DocStr5987
F:StockSharp.Plaza.Metadata.PlazaClearingPositionDerivativeColumns.BeginPosition/summary;DocStr5988
F:StockSharp.Plaza.Metadata.PlazaClearingPositionDerivativeColumns.EndPosition/summary;DocStr5989
F:StockSharp.Plaza.Metadata.PlazaClearingPositionDerivativeColumns.VariationMargin/summary;DocStr5990
F:StockSharp.Plaza.Metadata.PlazaClearingPositionDerivativeColumns.Fee/summary;DocStr5991
F:StockSharp.Plaza.Metadata.PlazaClearingPositionDerivativeColumns.FeeExchange/summary;DocStr5992
F:StockSharp.Plaza.Metadata.PlazaClearingPositionDerivativeColumns.VatExchange/summary;DocStr5993
F:StockSharp.Plaza.Metadata.PlazaClearingPositionDerivativeColumns.FeeClearing/summary;DocStr5994
F:StockSharp.Plaza.Metadata.PlazaClearingPositionDerivativeColumns.VatClearing/summary;DocStr5995
T:StockSharp.Plaza.Metadata.PlazaClearingPositionFutureColumns/summary;DocStr5996
F:StockSharp.Plaza.Metadata.PlazaClearingPositionFutureColumns.AccumGo/summary;DocStr5997
T:StockSharp.Plaza.Metadata.PlazaClearingPositionOptionColumns/summary;DocStr5998
T:StockSharp.Plaza.Metadata.PlazaClearingRateColumns/summary;DocStr5999
F:StockSharp.Plaza.Metadata.PlazaClearingRateColumns.Id/summary;DocStr6000
F:StockSharp.Plaza.Metadata.PlazaClearingRateColumns.Rate/summary;IndexValue
F:StockSharp.Plaza.Metadata.PlazaClearingRateColumns.Moment/summary;DocStr6001
F:StockSharp.Plaza.Metadata.PlazaClearingRateColumns.Signs/summary;DocStr6002
F:StockSharp.Plaza.Metadata.PlazaClearingRateColumns.SessionId/summary;DocStr5958
T:StockSharp.Plaza.Metadata.PlazaCurrencyOnlineColumns/summary;DocStr6003
F:StockSharp.Plaza.Metadata.PlazaCurrencyOnlineColumns.RateId/summary;DocStr6004
F:StockSharp.Plaza.Metadata.PlazaCurrencyOnlineColumns.Value/summary;DocStr6005
F:StockSharp.Plaza.Metadata.PlazaCurrencyOnlineColumns.Moment/summary;DocStr6006
T:StockSharp.Plaza.Metadata.PlazaFutInstrumentsColumns/summary;DocStr6007
F:StockSharp.Plaza.Metadata.PlazaFutInstrumentsColumns.IsinId/summary;DocStr5959
F:StockSharp.Plaza.Metadata.PlazaFutInstrumentsColumns.ShortIsin/summary;DocStr6008
F:StockSharp.Plaza.Metadata.PlazaFutInstrumentsColumns.Isin/summary;DocStr5986
F:StockSharp.Plaza.Metadata.PlazaFutInstrumentsColumns.Name/summary;DocStr6009
F:StockSharp.Plaza.Metadata.PlazaFutInstrumentsColumns.InstTerm/summary;DocStr6010
F:StockSharp.Plaza.Metadata.PlazaFutInstrumentsColumns.IsLimited/summary;DocStr6011
F:StockSharp.Plaza.Metadata.PlazaFutInstrumentsColumns.LimitUpOpt/summary;DocStr6012
F:StockSharp.Plaza.Metadata.PlazaFutInstrumentsColumns.LimitDownOpt/summary;DocStr6013
F:StockSharp.Plaza.Metadata.PlazaFutInstrumentsColumns.OldKotir/summary;DocStr6014
F:StockSharp.Plaza.Metadata.PlazaFutInstrumentsColumns.CodeVcb/summary;DocStr6015
F:StockSharp.Plaza.Metadata.PlazaFutInstrumentsColumns.MinStep/summary;Str306
F:StockSharp.Plaza.Metadata.PlazaFutInstrumentsColumns.LotVolume/summary;DocStr6016
F:StockSharp.Plaza.Metadata.PlazaFutInstrumentsColumns.StepPrice/summary;Str555
F:StockSharp.Plaza.Metadata.PlazaFutInstrumentsColumns.DateEnd/summary;DocStr6017
F:StockSharp.Plaza.Metadata.PlazaFutInstrumentsColumns.LastClearingQuote/summary;DocStr6018
F:StockSharp.Plaza.Metadata.PlazaFutInstrumentsColumns.Signs/summary;DocStr6019
F:StockSharp.Plaza.Metadata.PlazaFutInstrumentsColumns.RoundTo/summary;DocStr6020
F:StockSharp.Plaza.Metadata.PlazaFutInstrumentsColumns.IsSpread/summary;DocStr6021
F:StockSharp.Plaza.Metadata.PlazaFutInstrumentsColumns.Coeff/summary;DocStr6022
