T:StockSharp.Poloniex.PoloniexMessageAdapter/summary;DocStr2538
M:StockSharp.Poloniex.PoloniexMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Poloniex.PoloniexMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Poloniex.PoloniexMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
P:StockSharp.Poloniex.PoloniexMessageAdapter.IsSupportOrderBookIncrements/inheritdoc;DocStr8459
M:StockSharp.Poloniex.PoloniexMessageAdapter.GetTimeFrames(StockSharp.Messages.SecurityId,System.Nullable{System.DateTimeOffset},System.Nullable{System.DateTimeOffset})/inheritdoc;DocStr8459
M:StockSharp.Poloniex.PoloniexMessageAdapter.GetHistoryStepSize(StockSharp.Messages.DataType,System.TimeSpan@)/inheritdoc;DocStr8459
P:StockSharp.Poloniex.PoloniexMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.Poloniex.PoloniexMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.Poloniex.PoloniexMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.Poloniex.PoloniexMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.Poloniex.PoloniexMessageAdapter.Secret/inheritdoc;DocStr8459
M:StockSharp.Poloniex.PoloniexMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Poloniex.PoloniexMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Poloniex.PoloniexMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.Poloniex.PoloniexOrderCondition/summary;DocStr60
M:StockSharp.Poloniex.PoloniexOrderCondition.#ctor/summary;DocStr1
T:StockSharp.Poloniex.PoloniexTrader/summary;DocStr2539
M:StockSharp.Poloniex.PoloniexTrader.#ctor/summary;DocStr1
P:StockSharp.Poloniex.PoloniexTrader.Key/summary;Str3304
P:StockSharp.Poloniex.PoloniexTrader.Secret/summary;DocStr3146
P:StockSharp.Poloniex.PoloniexTrader.BalanceCheckInterval/summary;BalanceCheckInterval
