T:StockSharp.PrizmBit.PrizmBitMessageAdapter/summary;DocStr2538
M:StockSharp.PrizmBit.PrizmBitMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.PrizmBit.PrizmBitMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.PrizmBit.PrizmBitMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
P:StockSharp.PrizmBit.PrizmBitMessageAdapter.IsReplaceCommandEditCurrent/inheritdoc;DocStr8459
M:StockSharp.PrizmBit.PrizmBitMessageAdapter.GetTimeFrames(StockSharp.Messages.SecurityId,System.Nullable{System.DateTimeOffset},System.Nullable{System.DateTimeOffset})/inheritdoc;DocStr8459
P:StockSharp.PrizmBit.PrizmBitMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.PrizmBit.PrizmBitMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.PrizmBit.PrizmBitMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.PrizmBit.PrizmBitMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.PrizmBit.PrizmBitMessageAdapter.Secret/inheritdoc;DocStr8459
P:StockSharp.PrizmBit.PrizmBitMessageAdapter.IsDemo/inheritdoc;DocStr8459
M:StockSharp.PrizmBit.PrizmBitMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.PrizmBit.PrizmBitMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.PrizmBit.PrizmBitMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.PrizmBit.PrizmBitOrderCondition/summary;DocStr60
M:StockSharp.PrizmBit.PrizmBitOrderCondition.#ctor/summary;DocStr1
P:StockSharp.PrizmBit.PrizmBitOrderCondition.PostOnly/summary;PostOnlyOrder
P:StockSharp.PrizmBit.PrizmBitOrderCondition.StockSharp#Messages#IStopLossOrderCondition#ClosePositionPrice/inheritdoc;DocStr8459
P:StockSharp.PrizmBit.PrizmBitOrderCondition.StopLossClosePositionPrice/summary;DocStr10898
P:StockSharp.PrizmBit.PrizmBitOrderCondition.StopLossActivationPrice/summary;DocStr398
P:StockSharp.PrizmBit.PrizmBitOrderCondition.TakeProfitActivationPrice/summary;DocStr398
P:StockSharp.PrizmBit.PrizmBitOrderCondition.IsStopLossTrailing/summary;Str3446
