T:StockSharp.Quandl.QuandlMessageAdapter/summary;DocStr2538
M:StockSharp.Quandl.QuandlMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Quandl.QuandlMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Quandl.QuandlMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
M:StockSharp.Quandl.QuandlMessageAdapter.GetTimeFrames(StockSharp.Messages.SecurityId,System.Nullable{System.DateTimeOffset},System.Nullable{System.DateTimeOffset})/inheritdoc;DocStr8459
M:StockSharp.Quandl.QuandlMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.Quandl.QuandlMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.Quandl.QuandlMessageAdapter.Token/inheritdoc;DocStr8459
P:StockSharp.Quandl.QuandlMessageAdapter.DatabaseCode/summary;QuandlDatabase
M:StockSharp.Quandl.QuandlMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Quandl.QuandlMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Quandl.QuandlMessageAdapter.ToString/inheritdoc;DocStr8459
