T:StockSharp.QuantHouse.QuantFeedMessageAdapter/summary;DocStr10022
M:StockSharp.QuantHouse.QuantFeedMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.QuantHouse.QuantFeedMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.QuantHouse.QuantFeedMessageAdapter.GetTimeFrames(StockSharp.Messages.SecurityId,System.Nullable{System.DateTimeOffset},System.Nullable{System.DateTimeOffset})/inheritdoc;DocStr8459
P:StockSharp.QuantHouse.QuantFeedMessageAdapter.CheckTimeFrameByRequest/inheritdoc;DocStr8459
P:StockSharp.QuantHouse.QuantFeedMessageAdapter.IsSupportCandlesUpdates/inheritdoc;DocStr8459
P:StockSharp.QuantHouse.QuantFeedMessageAdapter.IsNativeIdentifiers/inheritdoc;DocStr8459
P:StockSharp.QuantHouse.QuantFeedMessageAdapter.IsSupportOrderBookIncrements/inheritdoc;DocStr8459
P:StockSharp.QuantHouse.QuantFeedMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.QuantHouse.QuantFeedMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.QuantHouse.QuantFeedMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.QuantHouse.QuantFeedMessageAdapter.Address/inheritdoc;DocStr8459
P:StockSharp.QuantHouse.QuantFeedMessageAdapter.Login/inheritdoc;DocStr8459
P:StockSharp.QuantHouse.QuantFeedMessageAdapter.Password/inheritdoc;DocStr8459
P:StockSharp.QuantHouse.QuantFeedMessageAdapter.SourceId/summary;DocStr12258
M:StockSharp.QuantHouse.QuantFeedMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.QuantHouse.QuantFeedMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.QuantHouse.QuantFeedMessageAdapter.ToString/inheritdoc;DocStr8459
