T:StockSharp.Quik.Lua.LuaFixServer/summary;DocStr6852
M:StockSharp.Quik.Lua.LuaFixServer.#ctor/summary;DocStr1
M:StockSharp.Quik.Lua.LuaFixServer.Start/summary;DocStr3163
M:StockSharp.Quik.Lua.LuaFixServer.Stop/summary;DocStr3164
M:StockSharp.Quik.Lua.LuaFixServer.DisposeManaged/summary;DocStr7
M:StockSharp.Quik.Lua.LuaFixServer.NeedProcess(StockSharp.Messages.MarketDataTypes,StockSharp.Messages.SecurityId)/summary;DocStr6853
M:StockSharp.Quik.Lua.LuaFixServer.NeedProcess(StockSharp.Messages.MarketDataTypes,StockSharp.Messages.SecurityId)/param/dataType;Str1670
M:StockSharp.Quik.Lua.LuaFixServer.NeedProcess(StockSharp.Messages.MarketDataTypes,StockSharp.Messages.SecurityId)/param/securityId;SecurityId
M:StockSharp.Quik.Lua.LuaFixServer.NeedProcess(StockSharp.Messages.MarketDataTypes,StockSharp.Messages.SecurityId)/returns;DocStr6853
M:StockSharp.Quik.Lua.LuaFixServer.Process(StockSharp.Messages.Message)/summary;DocStr80
M:StockSharp.Quik.Lua.LuaFixServer.Process(StockSharp.Messages.Message)/param/message;Str3166
M:StockSharp.Quik.Lua.LuaFixServer.GetNextRequest/summary;DocStr6855
M:StockSharp.Quik.Lua.LuaFixServer.GetNextRequest/returns;DocStr6856
M:StockSharp.Quik.Lua.LuaFixServer.GetNextTransactionId/summary;DocStr6857
M:StockSharp.Quik.Lua.LuaFixServer.GetNextTransactionId/returns;DocStr2143
P:StockSharp.Quik.Lua.LuaFixServer.TransactionAddress/summary;DocStr6858
P:StockSharp.Quik.Lua.LuaFixServer.MarketDataAddress/summary;DocStr6859
P:StockSharp.Quik.Lua.LuaFixServer.Login/summary;Login
P:StockSharp.Quik.Lua.LuaFixServer.Password/summary;Password
P:StockSharp.Quik.Lua.LuaFixServer.IncrementalDepthUpdates/summary;DocStr6860
P:StockSharp.Quik.Lua.LuaFixServer.LogFile/summary;DocStr6861
P:StockSharp.Quik.Lua.LuaFixServer.LogLevel/summary;DocStr6862
P:StockSharp.Quik.Lua.LuaFixServer.LogReceiver/summary;DocStr2469
T:StockSharp.Quik.Lua.LuaFixTransactionMessageAdapter/summary;DocStr6863
M:StockSharp.Quik.Lua.LuaFixTransactionMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Quik.Lua.LuaFixTransactionMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr43
M:StockSharp.Quik.Lua.LuaFixTransactionMessageAdapter.CreateOrderCondition/summary;DocStr44
M:StockSharp.Quik.Lua.LuaFixTransactionMessageAdapter.CreateOrderCondition/returns;DocStr45
M:StockSharp.Quik.Lua.LuaFixTransactionMessageAdapter.PostInitCondition(System.Char,StockSharp.Messages.OrderCondition)/summary;DocStr3160
M:StockSharp.Quik.Lua.LuaFixTransactionMessageAdapter.PostInitCondition(System.Char,StockSharp.Messages.OrderCondition)/param/ordType;Str132
M:StockSharp.Quik.Lua.LuaFixTransactionMessageAdapter.PostInitCondition(System.Char,StockSharp.Messages.OrderCondition)/param/condition;DocStr3159
M:StockSharp.Quik.Lua.LuaFixTransactionMessageAdapter.WriteOrderCondition(StockSharp.Fix.Native.IFixWriter,StockSharp.Messages.OrderRegisterMessage)/summary;DocStr3168
M:StockSharp.Quik.Lua.LuaFixTransactionMessageAdapter.WriteOrderCondition(StockSharp.Fix.Native.IFixWriter,StockSharp.Messages.OrderRegisterMessage)/param/writer;DocStr3169
M:StockSharp.Quik.Lua.LuaFixTransactionMessageAdapter.WriteOrderCondition(StockSharp.Fix.Native.IFixWriter,StockSharp.Messages.OrderRegisterMessage)/param/regMsg;DocStr3328
M:StockSharp.Quik.Lua.LuaFixTransactionMessageAdapter.ReadOrderCondition(StockSharp.Fix.Native.IFixReader,StockSharp.Fix.Native.FixTags,System.Func{StockSharp.Messages.OrderCondition})/summary;DocStr3153
M:StockSharp.Quik.Lua.LuaFixTransactionMessageAdapter.ReadOrderCondition(StockSharp.Fix.Native.IFixReader,StockSharp.Fix.Native.FixTags,System.Func{StockSharp.Messages.OrderCondition})/param/reader;DocStr3154
M:StockSharp.Quik.Lua.LuaFixTransactionMessageAdapter.ReadOrderCondition(StockSharp.Fix.Native.IFixReader,StockSharp.Fix.Native.FixTags,System.Func{StockSharp.Messages.OrderCondition})/param/tag;DocStr3155
M:StockSharp.Quik.Lua.LuaFixTransactionMessageAdapter.ReadOrderCondition(StockSharp.Fix.Native.IFixReader,StockSharp.Fix.Native.FixTags,System.Func{StockSharp.Messages.OrderCondition})/param/getCondition;DocStr3156
M:StockSharp.Quik.Lua.LuaFixTransactionMessageAdapter.ReadOrderCondition(StockSharp.Fix.Native.IFixReader,StockSharp.Fix.Native.FixTags,System.Func{StockSharp.Messages.OrderCondition})/returns;DocStr3157
T:StockSharp.Quik.Lua.LuaRequest/summary;DocStr6856
M:StockSharp.Quik.Lua.LuaRequest.#ctor/summary;DocStr1
M:StockSharp.Quik.Lua.LuaRequest.ToString/summary;DocStr49
M:StockSharp.Quik.Lua.LuaRequest.ToString/returns;DocStr50
P:StockSharp.Quik.Lua.LuaRequest.MessageType/summary;DocStr9
P:StockSharp.Quik.Lua.LuaRequest.TransactionId/summary;TransactionId
P:StockSharp.Quik.Lua.LuaRequest.Value/summary;DocStr3643
P:StockSharp.Quik.Lua.LuaRequest.SecurityId/summary;SecurityId
P:StockSharp.Quik.Lua.LuaRequest.OrderType/summary;Str132
P:StockSharp.Quik.Lua.LuaRequest.IsSubscribe/summary;DocStr4475
P:StockSharp.Quik.Lua.LuaRequest.DataType/summary;Str1670
T:StockSharp.Quik.Native.Codes/summary;DocStr6866
F:StockSharp.Quik.Native.Codes.Success/summary;DocStr6867
F:StockSharp.Quik.Native.Codes.Failed/summary;Str2744
F:StockSharp.Quik.Native.Codes.QuikTerminalNotFound/summary;DocStr6868
F:StockSharp.Quik.Native.Codes.DllVersionNotSupported/summary;DocStr6869
F:StockSharp.Quik.Native.Codes.AlreadyConnectedToQuik/summary;DocStr6870
F:StockSharp.Quik.Native.Codes.WrongSyntax/summary;DocStr6871
F:StockSharp.Quik.Native.Codes.QuikNotConnected/summary;DocStr6872
F:StockSharp.Quik.Native.Codes.DllNotConnected/summary;DocStr6873
F:StockSharp.Quik.Native.Codes.QuikConnected/summary;DocStr6874
F:StockSharp.Quik.Native.Codes.QuikDisconnected/summary;DocStr6875
F:StockSharp.Quik.Native.Codes.DllConnected/summary;DocStr6876
F:StockSharp.Quik.Native.Codes.DllDisconnected/summary;DocStr6877
F:StockSharp.Quik.Native.Codes.MemoryAllocationError/summary;DocStr6878
F:StockSharp.Quik.Native.Codes.WrongConnectionHandle/summary;DocStr6879
F:StockSharp.Quik.Native.Codes.WrongInputParams/summary;DocStr6880
T:StockSharp.Quik.Native.ApiException/summary;DocStr59
P:StockSharp.Quik.Native.ApiException.Code/summary;Str3698
T:StockSharp.Quik.DdeCurrencyPortfolioColumns/summary;DocStr6881
P:StockSharp.Quik.DdeCurrencyPortfolioColumns.FirmId/summary;DocStr6882
P:StockSharp.Quik.DdeCurrencyPortfolioColumns.Currency/summary;DocStr6883
P:StockSharp.Quik.DdeCurrencyPortfolioColumns.GroupCode/summary;DocStr6884
P:StockSharp.Quik.DdeCurrencyPortfolioColumns.ClientCode/summary;DocStr6885
P:StockSharp.Quik.DdeCurrencyPortfolioColumns.BeginPosition/summary;DocStr6886
P:StockSharp.Quik.DdeCurrencyPortfolioColumns.BeginLimit/summary;DocStr6887
P:StockSharp.Quik.DdeCurrencyPortfolioColumns.CurrentPosition/summary;DocStr6888
P:StockSharp.Quik.DdeCurrencyPortfolioColumns.CurrentLimit/summary;DocStr6889
P:StockSharp.Quik.DdeCurrencyPortfolioColumns.BlockedPosition/summary;DocStr6890
T:StockSharp.Quik.DdeCustomColumnAttribute/summary;DocStr6891
M:StockSharp.Quik.DdeCustomColumnAttribute.#ctor(System.String)/summary;DocStr6892
M:StockSharp.Quik.DdeCustomColumnAttribute.#ctor(System.String)/param/ddeColumnName;DocStr6893
P:StockSharp.Quik.DdeCustomColumnAttribute.DdeColumnName/summary;DocStr6893
T:StockSharp.Quik.DdeCustomTable/summary;DocStr6894
M:StockSharp.Quik.DdeCustomTable.#ctor(System.Type)/summary;DocStr1
M:StockSharp.Quik.DdeCustomTable.#ctor(System.Type)/param/entityType;DocStr2176
M:StockSharp.Quik.DdeCustomTable.#ctor(System.Type)/remarks;DocStr6895
M:StockSharp.Quik.DdeCustomTable.#ctor(System.Type,System.String)/summary;DocStr1
M:StockSharp.Quik.DdeCustomTable.#ctor(System.Type,System.String)/param/entityType;DocStr2176
M:StockSharp.Quik.DdeCustomTable.#ctor(System.Type,System.String)/param/tableName;DocStr6896
M:StockSharp.Quik.DdeCustomTable.#ctor(Ecng.Serialization.Schema)/summary;DocStr1
M:StockSharp.Quik.DdeCustomTable.#ctor(Ecng.Serialization.Schema)/param/schema;DocStr6897
P:StockSharp.Quik.DdeCustomTable.Schema/summary;DocStr6897
P:StockSharp.Quik.DdeCustomTable.TableName/summary;DocStr6898
P:StockSharp.Quik.DdeCustomTable.RowsCaption/summary;DocStr6899
P:StockSharp.Quik.DdeCustomTable.ColumnsCaption/summary;DocStr6900
P:StockSharp.Quik.DdeCustomTable.FormalValues/summary;DocStr6901
P:StockSharp.Quik.DdeCustomTable.EmptyCells/summary;DocStr6902
T:StockSharp.Quik.DdeCustomTableAttribute/summary;DocStr6903
M:StockSharp.Quik.DdeCustomTableAttribute.#ctor(System.String)/summary;DocStr6892
M:StockSharp.Quik.DdeCustomTableAttribute.#ctor(System.String)/param/ddeTableName;DocStr6904
P:StockSharp.Quik.DdeCustomTableAttribute.DdeTableName/summary;DocStr6904
T:StockSharp.Quik.DdeCustomTypeSchemaFactoryAttribute/summary;DocStr6905
M:StockSharp.Quik.DdeCustomTypeSchemaFactoryAttribute.#ctor(Ecng.Serialization.SearchBy,Ecng.Serialization.VisibleScopes)/summary;DocStr6892
M:StockSharp.Quik.DdeCustomTypeSchemaFactoryAttribute.#ctor(Ecng.Serialization.SearchBy,Ecng.Serialization.VisibleScopes)/param/searchBy;DocStr6906
M:StockSharp.Quik.DdeCustomTypeSchemaFactoryAttribute.#ctor(Ecng.Serialization.SearchBy,Ecng.Serialization.VisibleScopes)/param/scope;DocStr6907
M:StockSharp.Quik.DdeCustomTypeSchemaFactoryAttribute.CreateFactory/summary;DocStr6908
M:StockSharp.Quik.DdeCustomTypeSchemaFactoryAttribute.CreateFactory/returns;DocStr6909
T:StockSharp.Quik.DdeDerivativePortfolioColumns/summary;DocStr6910
P:StockSharp.Quik.DdeDerivativePortfolioColumns.FirmId/summary;DocStr6911
P:StockSharp.Quik.DdeDerivativePortfolioColumns.Account/summary;DocStr6912
P:StockSharp.Quik.DdeDerivativePortfolioColumns.LimitType/summary;DocStr6913
P:StockSharp.Quik.DdeDerivativePortfolioColumns.LiquidCoef/summary;DocStr6914
P:StockSharp.Quik.DdeDerivativePortfolioColumns.BeginLimitPositionsPrice/summary;DocStr6915
P:StockSharp.Quik.DdeDerivativePortfolioColumns.CurrentLimitPositionsPrice/summary;DocStr6916
P:StockSharp.Quik.DdeDerivativePortfolioColumns.CurrentLimitPositionsOrdersPrice/summary;DocStr6917
P:StockSharp.Quik.DdeDerivativePortfolioColumns.OrdersPrice/summary;DocStr6918
P:StockSharp.Quik.DdeDerivativePortfolioColumns.PositionsPrice/summary;DocStr6919
P:StockSharp.Quik.DdeDerivativePortfolioColumns.PlannedPositionsPrice/summary;DocStr6920
P:StockSharp.Quik.DdeDerivativePortfolioColumns.Margin/summary;DocStr6921
P:StockSharp.Quik.DdeDerivativePortfolioColumns.ACI/summary;DocStr6922
P:StockSharp.Quik.DdeDerivativePortfolioColumns.OptionPositionsPremium/summary;DocStr6923
P:StockSharp.Quik.DdeDerivativePortfolioColumns.MarketCommission/summary;DocStr6924
P:StockSharp.Quik.DdeDerivativePortfolioColumns.CoveredClientCoef/summary;DocStr6925
T:StockSharp.Quik.DdeEquityPositionColumns/summary;DocStr6926
P:StockSharp.Quik.DdeEquityPositionColumns.FirmId/summary;DocStr6882
P:StockSharp.Quik.DdeEquityPositionColumns.GroupCode/summary;DocStr6884
P:StockSharp.Quik.DdeEquityPositionColumns.SecurityCode/summary;DocStr6927
P:StockSharp.Quik.DdeEquityPositionColumns.SecurityShortName/summary;DocStr6928
P:StockSharp.Quik.DdeEquityPositionColumns.Account/summary;DocStr6929
P:StockSharp.Quik.DdeEquityPositionColumns.ClientCode/summary;DocStr6885
P:StockSharp.Quik.DdeEquityPositionColumns.BeginPosition/summary;DocStr6886
P:StockSharp.Quik.DdeEquityPositionColumns.BeginLimit/summary;DocStr6887
P:StockSharp.Quik.DdeEquityPositionColumns.CurrentPosition/summary;DocStr6888
P:StockSharp.Quik.DdeEquityPositionColumns.CurrentLimit/summary;DocStr6889
P:StockSharp.Quik.DdeEquityPositionColumns.BlockedPosition/summary;DocStr6890
P:StockSharp.Quik.DdeEquityPositionColumns.BuyPrice/summary;DocStr6930
P:StockSharp.Quik.DdeEquityPositionColumns.LimitType/summary;DocStr2934
T:StockSharp.Quik.DdeEquityPortfolioColumns/summary;DocStr6931
P:StockSharp.Quik.DdeEquityPortfolioColumns.FirmId/summary;DocStr6882
P:StockSharp.Quik.DdeEquityPortfolioColumns.ClientCode/summary;DocStr6932
P:StockSharp.Quik.DdeEquityPortfolioColumns.ElevatedRisk/summary;DocStr6933
P:StockSharp.Quik.DdeEquityPortfolioColumns.ClientType/summary;DocStr6934
P:StockSharp.Quik.DdeEquityPortfolioColumns.FortsAccount/summary;DocStr6935
P:StockSharp.Quik.DdeEquityPortfolioColumns.BeginAmount/summary;DocStr6936
P:StockSharp.Quik.DdeEquityPortfolioColumns.BeginLeverage/summary;DocStr6937
P:StockSharp.Quik.DdeEquityPortfolioColumns.BeginMarginLimit/summary;DocStr6938
P:StockSharp.Quik.DdeEquityPortfolioColumns.ShortsPrice/summary;DocStr6939
P:StockSharp.Quik.DdeEquityPortfolioColumns.LongsPrice/summary;DocStr6940
P:StockSharp.Quik.DdeEquityPortfolioColumns.MarginLongsPrice/summary;DocStr6941
P:StockSharp.Quik.DdeEquityPortfolioColumns.NonMarginCoveredLongsPrice/summary;DocStr6942
P:StockSharp.Quik.DdeEquityPortfolioColumns.CurrentAmount/summary;DocStr6943
P:StockSharp.Quik.DdeEquityPortfolioColumns.CurrentLeverage/summary;DocStr6944
P:StockSharp.Quik.DdeEquityPortfolioColumns.Margin/summary;DocStr6945
P:StockSharp.Quik.DdeEquityPortfolioColumns.CurrentMarginLimit/summary;DocStr6946
P:StockSharp.Quik.DdeEquityPortfolioColumns.AvailableMarginLimit/summary;DocStr6947
P:StockSharp.Quik.DdeEquityPortfolioColumns.BidsPrice/summary;DocStr6948
P:StockSharp.Quik.DdeEquityPortfolioColumns.MarginBidsPrice/summary;DocStr6949
P:StockSharp.Quik.DdeEquityPortfolioColumns.CoveredBidsPrice/summary;DocStr6950
P:StockSharp.Quik.DdeEquityPortfolioColumns.NonMarginBidsPrice/summary;DocStr6951
P:StockSharp.Quik.DdeEquityPortfolioColumns.AsksPrice/summary;DocStr6952
P:StockSharp.Quik.DdeEquityPortfolioColumns.BeginCurrency/summary;DocStr6953
P:StockSharp.Quik.DdeEquityPortfolioColumns.CurrentCurrency/summary;DocStr6954
P:StockSharp.Quik.DdeEquityPortfolioColumns.PnL/summary;DocStr6955
P:StockSharp.Quik.DdeEquityPortfolioColumns.ChangeShift/summary;DocStr6956
P:StockSharp.Quik.DdeEquityPortfolioColumns.AvailableBuyMarginCurrency/summary;DocStr6957
P:StockSharp.Quik.DdeEquityPortfolioColumns.AvailableSellMarginCurrency/summary;DocStr6958
P:StockSharp.Quik.DdeEquityPortfolioColumns.AvailableBuyNonMarginCurrency/summary;DocStr6959
P:StockSharp.Quik.DdeEquityPortfolioColumns.AvailableBuyCoveredCurrency/summary;DocStr6960
P:StockSharp.Quik.DdeEquityPortfolioColumns.CoveredPositionsPrice/summary;DocStr6961
P:StockSharp.Quik.DdeEquityPortfolioColumns.CoveredOrdersPrice/summary;DocStr6962
P:StockSharp.Quik.DdeEquityPortfolioColumns.VariationMargin/summary;DocStr6963
P:StockSharp.Quik.DdeEquityPortfolioColumns.RemainCurrency/summary;DocStr6964
P:StockSharp.Quik.DdeEquityPortfolioColumns.AmountAtCovered/summary;DocStr6965
P:StockSharp.Quik.DdeEquityPortfolioColumns.BlockedCurrency/summary;DocStr6966
P:StockSharp.Quik.DdeEquityPortfolioColumns.LimitType/summary;DocStr2934
T:StockSharp.Quik.DdeMyTradeColumns/summary;DocStr6967
P:StockSharp.Quik.DdeMyTradeColumns.Id/summary;DocStr6968
P:StockSharp.Quik.DdeMyTradeColumns.SecurityCode/summary;DocStr6927
P:StockSharp.Quik.DdeMyTradeColumns.SecurityClass/summary;DocStr6969
P:StockSharp.Quik.DdeMyTradeColumns.Time/summary;DocStr6970
