T:StockSharp.Rithmic.RithmicMessageAdapter/summary;DocStr2538
M:StockSharp.Rithmic.RithmicMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Rithmic.RithmicMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Rithmic.RithmicMessageAdapter.CreateOrderCondition/inheritdoc;DocStr8459
P:StockSharp.Rithmic.RithmicMessageAdapter.IsSupportStopLoss/inheritdoc;DocStr8459
P:StockSharp.Rithmic.RithmicMessageAdapter.SecurityLookupRequired/inheritdoc;DocStr8459
P:StockSharp.Rithmic.RithmicMessageAdapter.IsSupportNativeSecurityLookup/inheritdoc;DocStr8459
P:StockSharp.Rithmic.RithmicMessageAdapter.IsSupportCandlesUpdates/inheritdoc;DocStr8459
P:StockSharp.Rithmic.RithmicMessageAdapter.IsSupportSecuritiesLookupAll/inheritdoc;DocStr8459
M:StockSharp.Rithmic.RithmicMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.Rithmic.RithmicMessageAdapter.UserName/summary;Login
P:StockSharp.Rithmic.RithmicMessageAdapter.Password/summary;Password
P:StockSharp.Rithmic.RithmicMessageAdapter.CertFile/summary;Str3466
P:StockSharp.Rithmic.RithmicMessageAdapter.TransactionalUserName/summary;Str3468
P:StockSharp.Rithmic.RithmicMessageAdapter.TransactionalPassword/summary;Str3470
P:StockSharp.Rithmic.RithmicMessageAdapter.LogFileName/summary;Str3472
P:StockSharp.Rithmic.RithmicMessageAdapter.Server/summary;Str3473
P:StockSharp.Rithmic.RithmicMessageAdapter.AdminConnectionPoint/summary;Str3476
P:StockSharp.Rithmic.RithmicMessageAdapter.MarketDataConnectionPoint/summary;Str3478
P:StockSharp.Rithmic.RithmicMessageAdapter.TransactionConnectionPoint/summary;Str3480
P:StockSharp.Rithmic.RithmicMessageAdapter.PositionConnectionPoint/summary;Str3482
P:StockSharp.Rithmic.RithmicMessageAdapter.HistoricalConnectionPoint/summary;Str3484
P:StockSharp.Rithmic.RithmicMessageAdapter.DomainServerAddress/summary;Str3486
P:StockSharp.Rithmic.RithmicMessageAdapter.DomainName/summary;Str3488
P:StockSharp.Rithmic.RithmicMessageAdapter.LicenseServerAddress/summary;Str3490
P:StockSharp.Rithmic.RithmicMessageAdapter.LocalBrokerAddress/summary;Str3491
P:StockSharp.Rithmic.RithmicMessageAdapter.LoggerAddress/summary;Str3493
P:StockSharp.Rithmic.RithmicMessageAdapter.HistoricalUserName/summary;HistoricalUserNameDesc
P:StockSharp.Rithmic.RithmicMessageAdapter.HistoricalPassword/summary;HistoricalPasswordDesc
P:StockSharp.Rithmic.RithmicMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.Rithmic.RithmicMessageAdapter.TimeFrames/inheritdoc;DocStr8459
M:StockSharp.Rithmic.RithmicMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Rithmic.RithmicMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Rithmic.RithmicMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.Rithmic.RithmicOrderCondition/summary;DocStr60
M:StockSharp.Rithmic.RithmicOrderCondition.#ctor/summary;DocStr1
P:StockSharp.Rithmic.RithmicOrderCondition.StopPrice/summary;Str3460
T:StockSharp.Rithmic.RithmicServers/summary;DocStr7414
F:StockSharp.Rithmic.RithmicServers.Test/summary;Str3461
F:StockSharp.Rithmic.RithmicServers.Simulator/summary;Str1209
F:StockSharp.Rithmic.RithmicServers.Real/summary;Str3463
T:StockSharp.Rithmic.RithmicTrader/summary;DocStr2539
M:StockSharp.Rithmic.RithmicTrader.#ctor/summary;DocStr1
P:StockSharp.Rithmic.RithmicTrader.UserName/summary;DocStr3319
P:StockSharp.Rithmic.RithmicTrader.Password/summary;Password
P:StockSharp.Rithmic.RithmicTrader.CertFile/summary;Str3466
P:StockSharp.Rithmic.RithmicTrader.Server/summary;Str3473
P:StockSharp.Rithmic.RithmicTrader.LogFileName/summary;Str3472
T:StockSharp.Rithmic.Xaml.RithmicServerComboBox/summary;DocStr7416
M:StockSharp.Rithmic.Xaml.RithmicServerComboBox.#ctor/summary;DocStr1
F:StockSharp.Rithmic.Xaml.RithmicServerComboBox.SelectedServerProperty/summary;DocStr29
P:StockSharp.Rithmic.Xaml.RithmicServerComboBox.SelectedServer/summary;DocStr7417
M:StockSharp.Rithmic.Xaml.RithmicServerComboBox.OnSelectionChanged(System.Windows.Controls.SelectionChangedEventArgs)/summary;DocStr5908
M:StockSharp.Rithmic.Xaml.RithmicServerComboBox.OnSelectionChanged(System.Windows.Controls.SelectionChangedEventArgs)/param/e;DocStr5909
