T:StockSharp.Rss.RssAddresses/summary;DocStr7422
F:StockSharp.Rss.RssAddresses.Reuters/summary;DocStr7423
F:StockSharp.Rss.RssAddresses.Nyse/summary;DocStr7425
F:StockSharp.Rss.RssAddresses.Nasdaq/summary;DocStr7426
F:StockSharp.Rss.RssAddresses.Moex/summary;DocStr7427
F:StockSharp.Rss.RssAddresses.TradingEconomics/summary;DocStr7428
F:StockSharp.Rss.RssAddresses.TechnicalTraders/summary;DocStr7429
F:StockSharp.Rss.RssAddresses.DailyFX/summary;DocStr7430
F:StockSharp.Rss.RssAddresses.TradingFloor/summary;DocStr7431
F:StockSharp.Rss.RssAddresses.MarketWatch/summary;DocStr7432
F:StockSharp.Rss.RssAddresses.SmartLab/summary;DocStr7433
T:StockSharp.Rss.RssMessageAdapter/summary;DocStr7418
M:StockSharp.Rss.RssMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Rss.RssMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Rss.RssMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
F:StockSharp.Rss.RssMessageAdapter.DefaultHeartbeatInterval/summary;DocStr9884
P:StockSharp.Rss.RssMessageAdapter.Address/summary;Str3505
P:StockSharp.Rss.RssMessageAdapter.CustomDateFormat/summary;Str3507
M:StockSharp.Rss.RssMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Rss.RssMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Rss.RssMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.Rss.RssTrader/summary;DocStr8853
M:StockSharp.Rss.RssTrader.#ctor/summary;DocStr1
P:StockSharp.Rss.RssTrader.Address/summary;Str3505
P:StockSharp.Rss.RssTrader.CustomDateFormat/summary;DocStr7420
