T:StockSharp.Server.Core.AuthorizationModes/summary;DocStr1259
F:StockSharp.Server.Core.AuthorizationModes.Anonymous/summary;DocStr1260
F:StockSharp.Server.Core.AuthorizationModes.Windows/summary;DocStr1261
F:StockSharp.Server.Core.AuthorizationModes.Custom/summary;Custom
F:StockSharp.Server.Core.AuthorizationModes.Community/summary;StockSharp
T:StockSharp.Server.Core.IMessageListener/summary;DocStr11248
P:StockSharp.Server.Core.IMessageListener.Authorization/summary;DocStr3162
P:StockSharp.Server.Core.IMessageListener.TransactionIdStorage/summary;DocStr11213
P:StockSharp.Server.Core.IMessageListener.KeepSubscriptionsOnDisconnect/summary;DocStr11214
P:StockSharp.Server.Core.IMessageListener.Sessions/summary;DocStr12152
E:StockSharp.Server.Core.IMessageListener.NewOutMessage/summary;DocStr2237
E:StockSharp.Server.Core.IMessageListener.SessionConnected/summary;DocStr12153
E:StockSharp.Server.Core.IMessageListener.SessionDisconnected/summary;DocStr11802
M:StockSharp.Server.Core.IMessageListener.GetSubscriptions(StockSharp.Server.Core.IMessageListenerSession)/summary;DocStr12154
M:StockSharp.Server.Core.IMessageListener.GetSubscriptions(StockSharp.Server.Core.IMessageListenerSession)/param/session;Session
M:StockSharp.Server.Core.IMessageListener.GetSubscriptions(StockSharp.Server.Core.IMessageListenerSession)/returns;Subscriptions
E:StockSharp.Server.Core.IMessageListener.SubscriptionChanged/summary;DocStr12155
M:StockSharp.Server.Core.IMessageListener.AddSubscription(StockSharp.Server.Core.ServerSubscription)/summary;DocStr12156
M:StockSharp.Server.Core.IMessageListener.AddSubscription(StockSharp.Server.Core.ServerSubscription)/param/subscription;DocStr11068
M:StockSharp.Server.Core.IMessageListener.RemoveSubscription(StockSharp.Server.Core.ServerSubscription)/summary;DocStr12157
M:StockSharp.Server.Core.IMessageListener.RemoveSubscription(StockSharp.Server.Core.ServerSubscription)/param/subscription;DocStr11068
M:StockSharp.Server.Core.IMessageListener.RemoveSubscription(StockSharp.Server.Core.ServerSubscription)/returns;DocStr12158
M:StockSharp.Server.Core.IMessageListener.Suspend(StockSharp.Server.Core.ServerSubscription)/summary;DocStr12159
M:StockSharp.Server.Core.IMessageListener.Suspend(StockSharp.Server.Core.ServerSubscription)/param/subscription;DocStr11068
M:StockSharp.Server.Core.IMessageListener.Suspend(StockSharp.Server.Core.ServerSubscription)/returns;DocStr12158
M:StockSharp.Server.Core.IMessageListener.Resume(StockSharp.Server.Core.ServerSubscription)/summary;DocStr12160
M:StockSharp.Server.Core.IMessageListener.Resume(StockSharp.Server.Core.ServerSubscription)/param/subscription;DocStr11068
M:StockSharp.Server.Core.IMessageListener.Resume(StockSharp.Server.Core.ServerSubscription)/returns;DocStr12158
M:StockSharp.Server.Core.IMessageListener.Suspend(StockSharp.Server.Core.IMessageListenerSession)/summary;DocStr12161
M:StockSharp.Server.Core.IMessageListener.Suspend(StockSharp.Server.Core.IMessageListenerSession)/param/session;Session
M:StockSharp.Server.Core.IMessageListener.Resume(StockSharp.Server.Core.IMessageListenerSession)/summary;DocStr12162
M:StockSharp.Server.Core.IMessageListener.Resume(StockSharp.Server.Core.IMessageListenerSession)/param/session;Session
M:StockSharp.Server.Core.IMessageListener.Disconnect(StockSharp.Server.Core.IMessageListenerSession)/summary;DocStr12163
M:StockSharp.Server.Core.IMessageListener.Disconnect(StockSharp.Server.Core.IMessageListenerSession)/param/session;Session
M:StockSharp.Server.Core.IMessageListener.SendInMessage(StockSharp.Server.Core.IMessageListenerSession,System.Nullable{System.Int64},StockSharp.Messages.Message)/summary;DocStr46
M:StockSharp.Server.Core.IMessageListener.SendInMessage(StockSharp.Server.Core.IMessageListenerSession,System.Nullable{System.Int64},StockSharp.Messages.Message)/param/session;Session
M:StockSharp.Server.Core.IMessageListener.SendInMessage(StockSharp.Server.Core.IMessageListenerSession,System.Nullable{System.Int64},StockSharp.Messages.Message)/param/subscriptionId;DocStr9420
M:StockSharp.Server.Core.IMessageListener.SendInMessage(StockSharp.Server.Core.IMessageListenerSession,System.Nullable{System.Int64},StockSharp.Messages.Message)/param/message;Str3166
M:StockSharp.Server.Core.IMessageListener.SendInMessage(StockSharp.Server.Core.IMessageListenerSession,System.Nullable{System.Int64},StockSharp.Messages.Message)/returns;DocStr8774
T:StockSharp.Server.Core.IMessageListenerSession/summary;DocStr11249
P:StockSharp.Server.Core.IMessageListenerSession.SessionId/summary;Str361
P:StockSharp.Server.Core.IMessageListenerSession.ServerSession/summary;DocStr12164
P:StockSharp.Server.Core.IMessageListenerSession.IsConnected/summary;DocStr11803
P:StockSharp.Server.Core.IMessageListenerSession.ErrorCount/summary;DocStr12125
P:StockSharp.Server.Core.IMessageListenerSession.BytesReceived/summary;DocStr12126
P:StockSharp.Server.Core.IMessageListenerSession.BytesSent/summary;DocStr12127
P:StockSharp.Server.Core.IMessageListenerSession.CreationTime/summary;DocStr23
P:StockSharp.Server.Core.IMessageListenerSession.UpdatedTime/summary;DocStr12122
P:StockSharp.Server.Core.IMessageListenerSession.Address/summary;Address
T:StockSharp.Server.Core.ISnapshotHolder`1/summary;DocStr12165
T:StockSharp.Server.Core.ISnapshotHolder`1/typeparam/TMessage;DocStr9
M:StockSharp.Server.Core.ISnapshotHolder`1.TryGetSnapshot(StockSharp.Messages.SecurityId)/summary;DocStr12166
M:StockSharp.Server.Core.ISnapshotHolder`1.TryGetSnapshot(StockSharp.Messages.SecurityId)/param/securityId;SecurityId
M:StockSharp.Server.Core.ISnapshotHolder`1.TryGetSnapshot(StockSharp.Messages.SecurityId)/returns;Snapshot
M:StockSharp.Server.Core.ISnapshotHolder`1.Process(`0,System.Boolean)/summary;DocStr12167
M:StockSharp.Server.Core.ISnapshotHolder`1.Process(`0,System.Boolean)/param/change;DocStr12168
M:StockSharp.Server.Core.ISnapshotHolder`1.Process(`0,System.Boolean)/param/needResponse;DocStr12169
M:StockSharp.Server.Core.ISnapshotHolder`1.Process(`0,System.Boolean)/returns;DocStr12168
M:StockSharp.Server.Core.ISnapshotHolder`1.ResetSnapshot(StockSharp.Messages.SecurityId)/summary;DocStr12170
M:StockSharp.Server.Core.ISnapshotHolder`1.ResetSnapshot(StockSharp.Messages.SecurityId)/param/securityId;SecurityId
T:StockSharp.Server.Core.ITransactionIdStorage/summary;DocStr11215
M:StockSharp.Server.Core.ITransactionIdStorage.Get(System.String)/summary;DocStr11216
M:StockSharp.Server.Core.ITransactionIdStorage.Get(System.String)/param/sessionId;DocStr65
M:StockSharp.Server.Core.ITransactionIdStorage.Get(System.String)/returns;DocStr11217
T:StockSharp.Server.Core.ISessionTransactionIdStorage/summary;DocStr11218
