T:StockSharp.Sterling.SterlingMessageAdapter/summary;DocStr7558
M:StockSharp.Sterling.SterlingMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Sterling.SterlingMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr43
M:StockSharp.Sterling.SterlingMessageAdapter.CreateOrderCondition/summary;DocStr44
M:StockSharp.Sterling.SterlingMessageAdapter.CreateOrderCondition/returns;DocStr45
M:StockSharp.Sterling.SterlingMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/summary;DocStr46
M:StockSharp.Sterling.SterlingMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/param/message;Str3166
P:StockSharp.Sterling.SterlingMessageAdapter.IsSupportNativePortfolioLookup/summary;DocStr51
T:StockSharp.Sterling.SterlingExtendedOrderTypes/summary;DocStr7559
F:StockSharp.Sterling.SterlingExtendedOrderTypes.MarketOnClose/summary;Str2312
F:StockSharp.Sterling.SterlingExtendedOrderTypes.MarketOrBetter/summary;DocStr7560
F:StockSharp.Sterling.SterlingExtendedOrderTypes.MarketNoWait/summary;DocStr7561
F:StockSharp.Sterling.SterlingExtendedOrderTypes.LimitOnClose/summary;DocStr7562
F:StockSharp.Sterling.SterlingExtendedOrderTypes.Stop/summary;Str242
F:StockSharp.Sterling.SterlingExtendedOrderTypes.StopLimit/summary;Str1733
F:StockSharp.Sterling.SterlingExtendedOrderTypes.LimitOrBetter/summary;DocStr7563
F:StockSharp.Sterling.SterlingExtendedOrderTypes.LimitNoWait/summary;DocStr7564
F:StockSharp.Sterling.SterlingExtendedOrderTypes.NoWait/summary;DocStr7565
F:StockSharp.Sterling.SterlingExtendedOrderTypes.Nyse/summary;DocStr7425
F:StockSharp.Sterling.SterlingExtendedOrderTypes.Close/summary;DocStr7566
F:StockSharp.Sterling.SterlingExtendedOrderTypes.Pegged/summary;DocStr7567
F:StockSharp.Sterling.SterlingExtendedOrderTypes.ServerStop/summary;DocStr7568
F:StockSharp.Sterling.SterlingExtendedOrderTypes.ServerStopLimit/summary;DocStr7569
F:StockSharp.Sterling.SterlingExtendedOrderTypes.TrailingStop/summary;TrailingStopLoss
F:StockSharp.Sterling.SterlingExtendedOrderTypes.Last/summary;DocStr7570
T:StockSharp.Sterling.SterlingExecutionInstructions/summary;DocStr7571
F:StockSharp.Sterling.SterlingExecutionInstructions.SweepReserve/summary;DocStr7572
F:StockSharp.Sterling.SterlingExecutionInstructions.NoPreference/summary;DocStr7573
T:StockSharp.Sterling.SterlingOrderCondition/summary;DocStr60
M:StockSharp.Sterling.SterlingOrderCondition.#ctor/summary;DocStr1
P:StockSharp.Sterling.SterlingOrderCondition.StopPrice/summary;Str3460
P:StockSharp.Sterling.SterlingOrderCondition.ExtendedOrderType/summary;Str2368
P:StockSharp.Sterling.SterlingOrderCondition.Discretion/summary;DocStr2550
P:StockSharp.Sterling.SterlingOrderCondition.ExecutionInstruction/summary;DocStr7574
P:StockSharp.Sterling.SterlingOrderCondition.ExecutionBroker/summary;DocStr7575
P:StockSharp.Sterling.SterlingOrderCondition.ExecutionPriceLimit/summary;DocStr7576
P:StockSharp.Sterling.SterlingOrderCondition.PegDiff/summary;DocStr8456
P:StockSharp.Sterling.SterlingOrderCondition.TrailingVolume/summary;Str2457
P:StockSharp.Sterling.SterlingOrderCondition.TrailingIncrement/summary;DocStr7577
P:StockSharp.Sterling.SterlingOrderCondition.MinVolume/summary;Str2451
P:StockSharp.Sterling.SterlingOrderCondition.AveragePriceLimit/summary;DocStr7578
P:StockSharp.Sterling.SterlingOrderCondition.Duration/summary;Str1348
P:StockSharp.Sterling.SterlingOrderCondition.LocateBroker/summary;Broker
P:StockSharp.Sterling.SterlingOrderCondition.LocateVolume/summary;Volume
P:StockSharp.Sterling.SterlingOrderCondition.LocateTime/summary;Time
P:StockSharp.Sterling.SterlingOrderCondition.Options/summary;Str3800
T:StockSharp.Sterling.SterlingOrderCondition.SterlingOptionOrderCondition/summary;Str3800
P:StockSharp.Sterling.SterlingOrderCondition.SterlingOptionOrderCondition.IsOpen/summary;XamlStr408
P:StockSharp.Sterling.SterlingOrderCondition.SterlingOptionOrderCondition.Maturity/summary;DocStr3731
P:StockSharp.Sterling.SterlingOrderCondition.SterlingOptionOrderCondition.Type/summary;Str551
P:StockSharp.Sterling.SterlingOrderCondition.SterlingOptionOrderCondition.UnderlyingCode/summary;DocStr6015
P:StockSharp.Sterling.SterlingOrderCondition.SterlingOptionOrderCondition.IsCover/summary;DocStr7579
P:StockSharp.Sterling.SterlingOrderCondition.SterlingOptionOrderCondition.UnderlyingType/summary;DocStr7580
P:StockSharp.Sterling.SterlingOrderCondition.SterlingOptionOrderCondition.StrikePrice/summary;DocStr7581
T:StockSharp.Sterling.SterlingTrader/summary;DocStr7582
M:StockSharp.Sterling.SterlingTrader.#ctor/summary;DocStr1
