T:StockSharp.TradeOgre.TradeOgreMessageAdapter/summary;DocStr2538
M:StockSharp.TradeOgre.TradeOgreMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.TradeOgre.TradeOgreMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.TradeOgre.TradeOgreMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
P:StockSharp.TradeOgre.TradeOgreMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.TradeOgre.TradeOgreMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.TradeOgre.TradeOgreMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.TradeOgre.TradeOgreMessageAdapter.Secret/inheritdoc;DocStr8459
P:StockSharp.TradeOgre.TradeOgreMessageAdapter.BalanceCheckInterval/summary;BalanceCheckInterval
M:StockSharp.TradeOgre.TradeOgreMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.TradeOgre.TradeOgreMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.TradeOgre.TradeOgreMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.TradeOgre.TradeOgreTrader/summary;DocStr2539
M:StockSharp.TradeOgre.TradeOgreTrader.#ctor/summary;DocStr1
P:StockSharp.TradeOgre.TradeOgreTrader.Key/summary;Str3304
P:StockSharp.TradeOgre.TradeOgreTrader.Secret/summary;DocStr3146
P:StockSharp.TradeOgre.TradeOgreTrader.BalanceCheckInterval/summary;BalanceCheckInterval
