T:StockSharp.TrueFX.TrueFXMessageAdapter/summary;DocStr2538
M:StockSharp.TrueFX.TrueFXMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.TrueFX.TrueFXMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
P:StockSharp.TrueFX.TrueFXMessageAdapter.IsSupportSecurityLookupResult/inheritdoc;DocStr8459
P:StockSharp.TrueFX.TrueFXMessageAdapter.IsSupportSecuritiesLookupAll/inheritdoc;DocStr8459
M:StockSharp.TrueFX.TrueFXMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.TrueFX.TrueFXMessageAdapter.Login/summary;Login
P:StockSharp.TrueFX.TrueFXMessageAdapter.Password/summary;Password
M:StockSharp.TrueFX.TrueFXMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.TrueFX.TrueFXMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.TrueFX.TrueFXMessageAdapter.ToString/inheritdoc;DocStr8459
