T:StockSharp.Upbit.UpbitMessageAdapter/summary;DocStr2538
M:StockSharp.Upbit.UpbitMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Upbit.UpbitMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Upbit.UpbitMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
M:StockSharp.Upbit.UpbitMessageAdapter.GetTimeFrames(StockSharp.Messages.SecurityId,System.Nullable{System.DateTimeOffset},System.Nullable{System.DateTimeOffset})/inheritdoc;DocStr8459
P:StockSharp.Upbit.UpbitMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.Upbit.UpbitMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.Upbit.UpbitMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.Upbit.UpbitMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.Upbit.UpbitMessageAdapter.Secret/inheritdoc;DocStr8459
P:StockSharp.Upbit.UpbitMessageAdapter.BalanceCheckInterval/summary;BalanceCheckInterval
M:StockSharp.Upbit.UpbitMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Upbit.UpbitMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Upbit.UpbitMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.Upbit.UpbitOrderCondition/summary;DocStr60
M:StockSharp.Upbit.UpbitOrderCondition.#ctor/summary;DocStr1
T:StockSharp.Upbit.UpbitTrader/summary;DocStr2539
M:StockSharp.Upbit.UpbitTrader.#ctor/summary;DocStr1
P:StockSharp.Upbit.UpbitTrader.Key/summary;Str3304
P:StockSharp.Upbit.UpbitTrader.Secret/summary;DocStr3146
P:StockSharp.Upbit.UpbitTrader.BalanceCheckInterval/summary;BalanceCheckInterval
