T:StockSharp.Xaml.Code.CodeExtensions/summary;DocStr4290
M:StockSharp.Xaml.Code.CodeExtensions.CompileCode(Ecng.Roslyn.CompilationLanguages,System.String,System.String,System.Collections.Generic.IEnumerable{StockSharp.Xaml.Code.CodeReference})/summary;DocStr8110
M:StockSharp.Xaml.Code.CodeExtensions.CompileCode(Ecng.Roslyn.CompilationLanguages,System.String,System.String,System.Collections.Generic.IEnumerable{StockSharp.Xaml.Code.CodeReference})/param/language;DocStr8111
M:StockSharp.Xaml.Code.CodeExtensions.CompileCode(Ecng.Roslyn.CompilationLanguages,System.String,System.String,System.Collections.Generic.IEnumerable{StockSharp.Xaml.Code.CodeReference})/param/code;Code
M:StockSharp.Xaml.Code.CodeExtensions.CompileCode(Ecng.Roslyn.CompilationLanguages,System.String,System.String,System.Collections.Generic.IEnumerable{StockSharp.Xaml.Code.CodeReference})/param/name;DocStr8112
M:StockSharp.Xaml.Code.CodeExtensions.CompileCode(Ecng.Roslyn.CompilationLanguages,System.String,System.String,System.Collections.Generic.IEnumerable{StockSharp.Xaml.Code.CodeReference})/param/references;References
M:StockSharp.Xaml.Code.CodeExtensions.CompileCode(Ecng.Roslyn.CompilationLanguages,System.String,System.String,System.Collections.Generic.IEnumerable{StockSharp.Xaml.Code.CodeReference})/returns;DocStr8098
M:StockSharp.Xaml.Code.CodeExtensions.HasErrors(Ecng.Roslyn.CompilationResult)/summary;DocStr8115
M:StockSharp.Xaml.Code.CodeExtensions.HasErrors(Ecng.Roslyn.CompilationResult)/param/result;DocStr8098
M:StockSharp.Xaml.Code.CodeExtensions.HasErrors(Ecng.Roslyn.CompilationResult)/returns;DocStr8116
P:StockSharp.Xaml.Code.CodeExtensions.DefaultReferences/summary;DocStr8121
M:StockSharp.Xaml.Code.CodeExtensions.ToReference(System.String,System.Reflection.Assembly[])/summary;DocStr8117
M:StockSharp.Xaml.Code.CodeExtensions.ToReference(System.String,System.Reflection.Assembly[])/param/referenceName;DocStr8112
M:StockSharp.Xaml.Code.CodeExtensions.ToReference(System.String,System.Reflection.Assembly[])/param/assemblies;DocStr8118
M:StockSharp.Xaml.Code.CodeExtensions.ToReference(System.String,System.Reflection.Assembly[])/returns;DocStr608
M:StockSharp.Xaml.Code.CodeExtensions.ToReferences(System.Collections.Generic.IEnumerable{System.String})/summary;DocStr8119
M:StockSharp.Xaml.Code.CodeExtensions.ToReferences(System.Collections.Generic.IEnumerable{System.String})/param/referenceNames;DocStr8120
M:StockSharp.Xaml.Code.CodeExtensions.ToReferences(System.Collections.Generic.IEnumerable{System.String})/returns;DocStr608
T:StockSharp.Xaml.Code.CodeReference/summary;DocStr8106
M:StockSharp.Xaml.Code.CodeReference.#ctor/summary;DocStr1
P:StockSharp.Xaml.Code.CodeReference.Name/summary;DocStr8112
P:StockSharp.Xaml.Code.CodeReference.Location/summary;DocStr8108
T:StockSharp.Xaml.Code.CodeReferencesWindow/summary;DocStr8109
M:StockSharp.Xaml.Code.CodeReferencesWindow.#ctor/summary;DocStr1
P:StockSharp.Xaml.Code.CodeReferencesWindow.References/summary;References
M:StockSharp.Xaml.Code.CodeReferencesWindow.InitializeComponent/summary;DocStr8
