T:StockSharp.Xaml.AboutWindow/summary;DocStr9433
P:StockSharp.Xaml.AboutWindow.ProductTitle/summary;DocStr9435
P:StockSharp.Xaml.AboutWindow.Version/summary;DocStr9436
P:StockSharp.Xaml.AboutWindow.Description/summary;DocStr9437
P:StockSharp.Xaml.AboutWindow.Product/summary;DocStr9438
P:StockSharp.Xaml.AboutWindow.Copyright/summary;DocStr9439
P:StockSharp.Xaml.AboutWindow.Company/summary;DocStr9440
P:StockSharp.Xaml.AboutWindow.LinkUri/summary;DocStr9441
M:StockSharp.Xaml.AboutWindow.#ctor/summary;DocStr1
M:StockSharp.Xaml.AboutWindow.InitializeComponent/summary;DocStr8
T:StockSharp.Xaml.AdvertisePanel/summary;DocStr8063
F:StockSharp.Xaml.AdvertisePanel.TextColorProperty/summary;DocStr29
P:StockSharp.Xaml.AdvertisePanel.TextColor/summary;DocStr9202
M:StockSharp.Xaml.AdvertisePanel.#ctor/summary;DocStr1
M:StockSharp.Xaml.AdvertisePanel.AddNews(StockSharp.BusinessEntities.News)/summary;DocStr11673
M:StockSharp.Xaml.AdvertisePanel.AddNews(StockSharp.BusinessEntities.News)/param/news;News
M:StockSharp.Xaml.AdvertisePanel.AddNews(System.Collections.Generic.IEnumerable{StockSharp.BusinessEntities.News})/summary;DocStr11673
M:StockSharp.Xaml.AdvertisePanel.AddNews(System.Collections.Generic.IEnumerable{StockSharp.BusinessEntities.News})/param/news;News
M:StockSharp.Xaml.AdvertisePanel.InitializeComponent/summary;DocStr8
T:StockSharp.Xaml.AppStartSettings/summary;DocStr12077
P:StockSharp.Xaml.AppStartSettings.AutoStart/summary;DocStr12078
P:StockSharp.Xaml.AppStartSettings.Platform/summary;DocStr12079
P:StockSharp.Xaml.AppStartSettings.Language/summary;DocStr12080
P:StockSharp.Xaml.AppStartSettings.Online/summary;DocStr12264
M:StockSharp.Xaml.AppStartSettings.#ctor/summary;DocStr11644
M:StockSharp.Xaml.AppStartSettings.TryLoad/summary;DocStr12081
M:StockSharp.Xaml.AppStartSettings.TrySave/summary;DocStr12082
T:StockSharp.Xaml.AutoCompletePopUp/summary;DocStr8064
M:StockSharp.Xaml.AutoCompletePopUp.#ctor/summary;DocStr1
F:StockSharp.Xaml.AutoCompletePopUp.MatchTextProperty/summary;DocStr29
P:StockSharp.Xaml.AutoCompletePopUp.MatchText/summary;DocStr8066
P:StockSharp.Xaml.AutoCompletePopUp.Securities/summary;DocStr8067
E:StockSharp.Xaml.AutoCompletePopUp.SecuritySelected/summary;DocStr1489
P:StockSharp.Xaml.AutoCompletePopUp.SelectedSecurity/summary;DocStr8068
E:StockSharp.Xaml.AutoCompletePopUp.MatchKeyDown/summary;DocStr8069
M:StockSharp.Xaml.AutoCompletePopUp.DoFocus/summary;DocStr8065
M:StockSharp.Xaml.AutoCompletePopUp.InitializeComponent/summary;DocStr8
T:StockSharp.Xaml.BaseApplication/summary;DocStr8070
M:StockSharp.Xaml.BaseApplication.#ctor/summary;DocStr93
P:StockSharp.Xaml.BaseApplication.ShowExceptions/summary;DocStr8076
P:StockSharp.Xaml.BaseApplication.ExtendedFeatures/summary;DocStr8077
P:StockSharp.Xaml.BaseApplication.ProxySettings/summary;Str1435
P:StockSharp.Xaml.BaseApplication.HelpCommand/summary;DocStr9858
P:StockSharp.Xaml.BaseApplication.AppIcon/summary;DocStr8078
P:StockSharp.Xaml.BaseApplication.CheckTargetPlatform/summary;DocStr8079
M:StockSharp.Xaml.BaseApplication.OnStartup(System.Windows.StartupEventArgs)/summary;DocStr8074
M:StockSharp.Xaml.BaseApplication.OnStartup(System.Windows.StartupEventArgs)/param/e;Str347
M:StockSharp.Xaml.BaseApplication.EditProxySettings(System.Windows.Window)/summary;DocStr8075
M:StockSharp.Xaml.BaseApplication.EditProxySettings(System.Windows.Window)/param/owner;DocStr8907
T:StockSharp.Xaml.BasketPortfolioWindow/summary;DocStr8080
F:StockSharp.Xaml.BasketPortfolioWindow.OkCommand/summary;DocStr8081
F:StockSharp.Xaml.BasketPortfolioWindow.AddCommand/summary;DocStr8082
F:StockSharp.Xaml.BasketPortfolioWindow.RemoveCommand/summary;DocStr8083
P:StockSharp.Xaml.BasketPortfolioWindow.AllPortfolios/summary;DocStr8084
P:StockSharp.Xaml.BasketPortfolioWindow.InnerPortfolios/summary;DocStr8085
P:StockSharp.Xaml.BasketPortfolioWindow.Connector/summary;DocStr8086
P:StockSharp.Xaml.BasketPortfolioWindow.Portfolio/summary;XamlStr257
M:StockSharp.Xaml.BasketPortfolioWindow.#ctor/summary;DocStr1
M:StockSharp.Xaml.BasketPortfolioWindow.InitializeComponent/summary;DocStr8
T:StockSharp.Xaml.BuySellGrid/summary;DocStr10051
M:StockSharp.Xaml.BuySellGrid.#ctor/summary;DocStr1
P:StockSharp.Xaml.BuySellGrid.SecurityProvider/summary;DocStr972
P:StockSharp.Xaml.BuySellGrid.Portfolios/summary;DocStr8362
P:StockSharp.Xaml.BuySellGrid.MarketDataProvider/summary;DocStr973
E:StockSharp.Xaml.BuySellGrid.OrderRegistering/summary;DocStr8161
E:StockSharp.Xaml.BuySellGrid.PanelAdded/summary;DocStr10053
E:StockSharp.Xaml.BuySellGrid.PanelRemoved/summary;DocStr10052
P:StockSharp.Xaml.BuySellGrid.Panels/summary;DocStr10070
M:StockSharp.Xaml.BuySellGrid.ClearPanels/summary;DocStr10054
M:StockSharp.Xaml.BuySellGrid.AddPanel(StockSharp.BusinessEntities.Security)/summary;XamlStr143
M:StockSharp.Xaml.BuySellGrid.AddPanel(StockSharp.BusinessEntities.Security)/param/security;DocStr2831
M:StockSharp.Xaml.BuySellGrid.AddPanel(StockSharp.BusinessEntities.Security)/returns;DocStr10055
M:StockSharp.Xaml.BuySellGrid.RemovePanel(StockSharp.Xaml.BuySellPanel)/summary;DocStr11276
M:StockSharp.Xaml.BuySellGrid.RemovePanel(StockSharp.Xaml.BuySellPanel)/param/panel;DocStr10055
M:StockSharp.Xaml.BuySellGrid.Load(Ecng.Serialization.SettingsStorage)/summary;DocStr2
M:StockSharp.Xaml.BuySellGrid.Load(Ecng.Serialization.SettingsStorage)/param/storage;DocStr3
M:StockSharp.Xaml.BuySellGrid.Save(Ecng.Serialization.SettingsStorage)/summary;DocStr4
M:StockSharp.Xaml.BuySellGrid.Save(Ecng.Serialization.SettingsStorage)/param/storage;DocStr3
M:StockSharp.Xaml.BuySellGrid.InitializeComponent/summary;DocStr8
T:StockSharp.Xaml.BuySellPanel/summary;DocStr10055
M:StockSharp.Xaml.BuySellPanel.#ctor/summary;DocStr1
P:StockSharp.Xaml.BuySellPanel.Security/summary;DocStr2831
P:StockSharp.Xaml.BuySellPanel.SecurityProvider/summary;DocStr972
P:StockSharp.Xaml.BuySellPanel.Portfolio/summary;Portfolio
P:StockSharp.Xaml.BuySellPanel.Volume/summary;DocStr3526
P:StockSharp.Xaml.BuySellPanel.Portfolios/summary;DocStr8362
P:StockSharp.Xaml.BuySellPanel.MarketDataProvider/summary;DocStr973
E:StockSharp.Xaml.BuySellPanel.OrderRegistering/summary;DocStr8161
E:StockSharp.Xaml.BuySellPanel.Closed/summary;DocStr10056
E:StockSharp.Xaml.BuySellPanel.SecurityChanged/summary;DocStr10071
E:StockSharp.Xaml.BuySellPanel.PortfolioChanged/summary;DocStr10071
M:StockSharp.Xaml.BuySellPanel.Load(Ecng.Serialization.SettingsStorage)/summary;DocStr2
M:StockSharp.Xaml.BuySellPanel.Load(Ecng.Serialization.SettingsStorage)/param/storage;DocStr3
M:StockSharp.Xaml.BuySellPanel.Save(Ecng.Serialization.SettingsStorage)/summary;DocStr4
M:StockSharp.Xaml.BuySellPanel.Save(Ecng.Serialization.SettingsStorage)/param/storage;DocStr3
M:StockSharp.Xaml.BuySellPanel.InitializeComponent/summary;DocStr8
T:StockSharp.Xaml.CandleMessageGrid/summary;DocStr8133
M:StockSharp.Xaml.CandleMessageGrid.#ctor/summary;DocStr1
P:StockSharp.Xaml.CandleMessageGrid.MaxCount/summary;DocStr8136
P:StockSharp.Xaml.CandleMessageGrid.Messages/summary;DocStr8137
P:StockSharp.Xaml.CandleMessageGrid.SelectedMessage/summary;DocStr8138
P:StockSharp.Xaml.CandleMessageGrid.SelectedMessages/summary;DocStr8139
M:StockSharp.Xaml.CandleMessageGrid.InitializeComponent/summary;DocStr8
T:StockSharp.Xaml.ChangePasswordWindow/summary;DocStr8087
M:StockSharp.Xaml.ChangePasswordWindow.#ctor/summary;DocStr1
F:StockSharp.Xaml.ChangePasswordWindow.Process/summary;DocStr8088
M:StockSharp.Xaml.ChangePasswordWindow.UpdateResult(System.String)/summary;DocStr8089
M:StockSharp.Xaml.ChangePasswordWindow.UpdateResult(System.String)/param/result;DocStr8090
M:StockSharp.Xaml.ChangePasswordWindow.InitializeComponent/summary;DocStr8
T:StockSharp.Xaml.ChatPanel/summary;DocStr8908
M:StockSharp.Xaml.ChatPanel.#ctor/summary;DocStr1
M:StockSharp.Xaml.ChatPanel.Dispose/summary;DocStr8826
M:StockSharp.Xaml.ChatPanel.InitializeComponent/summary;DocStr8
T:StockSharp.Xaml.Code.CodeExtensions/summary;DocStr4290
M:StockSharp.Xaml.Code.CodeExtensions.CompileCode(Ecng.Common.ICompiler,System.String,System.String,System.Collections.Generic.IEnumerable{StockSharp.Xaml.Code.CodeReference})/summary;DocStr8110
M:StockSharp.Xaml.Code.CodeExtensions.CompileCode(Ecng.Common.ICompiler,System.String,System.String,System.Collections.Generic.IEnumerable{StockSharp.Xaml.Code.CodeReference})/param/compiler;DocStr9836
M:StockSharp.Xaml.Code.CodeExtensions.CompileCode(Ecng.Common.ICompiler,System.String,System.String,System.Collections.Generic.IEnumerable{StockSharp.Xaml.Code.CodeReference})/param/code;Code
M:StockSharp.Xaml.Code.CodeExtensions.CompileCode(Ecng.Common.ICompiler,System.String,System.String,System.Collections.Generic.IEnumerable{StockSharp.Xaml.Code.CodeReference})/param/name;DocStr8112
M:StockSharp.Xaml.Code.CodeExtensions.CompileCode(Ecng.Common.ICompiler,System.String,System.String,System.Collections.Generic.IEnumerable{StockSharp.Xaml.Code.CodeReference})/param/references;References
M:StockSharp.Xaml.Code.CodeExtensions.CompileCode(Ecng.Common.ICompiler,System.String,System.String,System.Collections.Generic.IEnumerable{StockSharp.Xaml.Code.CodeReference})/returns;DocStr8098
M:StockSharp.Xaml.Code.CodeExtensions.HasErrors(Ecng.Common.CompilationResult)/summary;DocStr8115
