T:StockSharp.ZB.ZBMessageAdapter/summary;DocStr2538
P:StockSharp.ZB.ZBMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.ZB.ZBMessageAdapter.Key/summary;Str3304
P:StockSharp.ZB.ZBMessageAdapter.Secret/summary;DocStr3146
P:StockSharp.ZB.ZBMessageAdapter.AdminPassword/summary;AdminPassword
P:StockSharp.ZB.ZBMessageAdapter.BalanceCheckInterval/summary;BalanceCheckInterval
M:StockSharp.ZB.ZBMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.ZB.ZBMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.ZB.ZBMessageAdapter.ToString/inheritdoc;DocStr8459
M:StockSharp.ZB.ZBMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.ZB.ZBMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.ZB.ZBMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
T:StockSharp.ZB.ZBOrderCondition/summary;DocStr60
M:StockSharp.ZB.ZBOrderCondition.#ctor/summary;DocStr1
T:StockSharp.ZB.ZBTrader/summary;DocStr2539
M:StockSharp.ZB.ZBTrader.#ctor/summary;DocStr1
P:StockSharp.ZB.ZBTrader.Key/summary;Str3304
P:StockSharp.ZB.ZBTrader.Secret/summary;DocStr3146
P:StockSharp.ZB.ZBTrader.AdminPassword/summary;AdminPassword
P:StockSharp.ZB.ZBTrader.BalanceCheckInterval/summary;BalanceCheckInterval
