CannotCreateConsoleWindow;Cannot create a console window.;Невозможно создать консольное окно.
UnknownLevelLog;Unknown level of logs.;Неизвестный уровень логов.
NameFileNotContainFileName;Name of file {0} does not contain a file name.;Название файла {0} не содержит имя файла.
RollerFileIndexMustGreatZero;Roller file index must be greater than zero.;Индекс роллируемого файла должен быть больше нуля.
Logging;Logging;Логирование
Name;Name;Название
Str7;Source name (to distinguish in log files).;Название источника (для различия в лог файлах).
Str8Params;Parent at source {0} is already set in {1}.;Родитель у источника {0} уже установлен в {1}.
Str9;Logging level;Уровень логирования
Inherited;Inherited;Наследуемый
Str12;Debug;Отладка
Info;Info;Информация
Warnings;Warnings;Предупреждения
Errors;Errors;Ошибки
Off;Off;Выключено
Str17;Method should be implemented in the inherited class.;Метод должен быть реализован в наследуемом классе.
MessageLog;Message log;Лог сообщения
IntervalMustBePositive;Interval must be positive.;Интервал должен быть положительным.
ObjectWasAlreadyAdded;Object {0} was already added.;Объект {0} уже был ранее добавлен.
ObjectWasAlreadyDeleted;Object {0} was already deleted.;Объект {0} уже был ранее удален.
SomeObjectWasDeleted;Some objects were already deleted earlier.;Некоторые объекты уже были ранее удалены.
WrongLoginOrPassword;Wrong login or password.;Неправильный логин или пароль.
Str24;Temporary block is on due to unsuccessful authorization tries.;Включена временная блокировка из-за неудачных попыток авторизации.
UserBlocked;User account blocked.;Учетная запись заблокирована.
SessionExpired;Session was expired or not created.;Сессия устарела или не была создана.
AccountNotFound;Information about the user account not found.;Информация об учетной записи не найдена.
UnknownServerErrorCode;Unknown server '{0}' error code.;Неизвестный код ошибки сервера '{0}'.
UnknownServerError;Unknown server error.;Неизвестная ошибка сервера.
MessageNoText;Message contains no text.;Сообщение не содержит текст.
MessageTextMax;Message text esceeded maximum allowed length.;Текст сообщения превысил максимально допустимую длину.
SmsNotEnough;SMS is not enough.;Недостаточно СМС.
EmailNotEnough;Email is not enough.;Недостаточно Email.
PhoneNotSpecified;Phone number not specified.;Телефон не указан.
EmailIncorrect;Specified Email has incorrect format.;Указанный Email имеет неправильный формат.
